CVE ESTADO,CVE MUNICIPIO,emisiones NOx,,,,,,,,,,,,,,,,,,
,,Asados_al_carbon,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios, cruces fronterizos ,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
05,013,05013,0.00483157,0,0.027751034,0.376942831,0,7.84964E-05,0,0,0.006206529,0.399450012,0,0,0,0,0,0,4.670088466,0
05,014,05014,0.01370361,0,0.104066379,2.288272453,0.16823749,0.000516272,0,0,0.052855483,10.07349553,0,0,0,0,0,129.1458867,4.252301364,0
05,015,05015,0.00274834,0,0.020813276,0.363949947,0.008660373,8.03409E-05,0,0,0.00137808,1.268481099,0,0,0,0,0,0,1.254579693,0
05,016,05016,0.00558751,0,0.035556013,0.428059736,0.076082503,7.74716E-05,0,0,0.000672148,0.775227609,0,0,0,0,0,0,1.610738987,0
05,017,05017,0.22301109,7.249202904,2.26126384,21.10380225,2.370809149,0.002725443,0,0.367678634,0.138959739,118.4713167,0,0,0,0,0,0,27.68760877,0
05,018,05018,0.71484968,0,8.953836648,45.00918544,9.462157892,0.013286334,0,0,0.017692648,0.823352271,0,0,0,0,0,16.50937108,9.585471388,0
05,019,05019,0.02239106,0,0.159568447,1.703635859,0.32873213,0.00037998,0,0,0.002948166,2.996112904,0,0,0,0,0,0,2.988071058,0
05,020,05020,0.20361449,0,1.387551715,12.86060633,1.445496046,0.003593726,62.82222201,0.183839317,0.049011803,3.085464827,0,0,0,0,0,133.1400893,9.905751108,0
05,021,05021,0.01405814,0,0.060705388,1.764538465,0.069282987,0.000335095,8.447546697,0,0.001507382,5.115243777,0,0,0,0,0,31.95362144,3.548108195,0
05,022,05022,0.09181448,0,0.389839966,6.205814244,1.122634002,0.001592882,0,0.735357269,0.010084161,6.054317674,0,0,0,0,0,120.3586408,1141.859617,0
05,023,05023,0.0196603,0,0.190788361,4.721437973,0.222175628,0.000272111,232.6753387,0,0.016895903,1.418441892,0,0,0,0,0,169.3541936,2.213609363,0
05,024,05024,0.10498483,0,1.113510251,20.72996016,1.104153528,0.001081528,0.233874621,0.183839317,0.234049519,10.86921815,0,0,0,0,0,570.9047031,16.08274661,0
05,025,05025,0.49899365,0,5.937857998,32.05695284,8.208591216,0.008910054,0,0.919196586,0.012629134,4.609093965,0,0,0,0,0,29.55709983,2.860200436,0
05,026,05026,0.00241725,0,0.010406638,0.756630924,0,0.000150639,0,0,0.012245205,0.779825204,0,0,0,0,0,42.07226823,1.484988079,0
05,027,05027,0.25377609,0.125929122,2.257423052,25.08830747,15.96057635,0.004810822,0,0.183839317,0.086217657,15.42320239,0,0,0,0,0,488.3578477,10.58732565,0
05,028,05028,0.19166009,0,1.79861391,12.15520355,2.334205088,0.003664069,0,0.367678634,0.033703902,2.263746022,0,0,0,0,0,122.222602,5.277377417,0
05,029,05029,0.00739825,0,0.036423233,0.508024938,0.131055247,0.000107599,0,0,0.000179646,1.176689012,0,0,0,0,0,0,0.825127414,0
05,030,05030,2.41856264,0.728496152,23.43168641,162.7422448,30.58626208,0.041327407,7.028575533,20.59000353,0.287197812,6.94956634,0,0,0,0,0,590.8757165,24.0668194,1.861310381
05,031,05031,0.06789982,0,0.467615919,5.395417183,0.52286503,0.001307589,16.97150505,0,0.007823528,5.956582204,0,0,0,0,0,0,6.289907672,0
05,032,05032,0.12882331,0,1.310369151,8.426737216,1.045607414,0.002520663,0,0.735357269,0.037879529,3.419130941,0,0,0,0,0,0,2.637030009,0
05,033,05033,0.19363491,1.537294082,2.031896042,26.83904753,2.887598246,0.001738647,0.371592537,0.183839317,1.349617258,75.96045858,0,0,0,0,0,123.8202831,33.97604472,0
05,034,05034,0.01489319,0,0.132684633,2.241284227,0.034641493,0.000155892,0,0,0.026835936,9.160968207,0,0,0,0,0,295.3047182,4.914574683,0
05,035,05035,2.05298947,0,27.37905611,136.9783808,29.70444442,0.036992613,0,0,0.078680555,16.32814859,0,0,0,51.726,0,53.52231592,4.820843104,0
05,036,05036,0.01148267,2.484603595,0.088456422,9.881371821,0.017320747,0.000198261,0,0,0.314575902,17.83123201,0,0,0,0,0,119.0272399,7.231083708,0
05,037,05037,0.01683578,0,0.104933598,1.417643738,0.246180851,0.000290006,0,0,0.007825806,4.445678453,0,0,0,0,0,62.04328164,4.643754355,0
05,038,05038,0.03375653,0,0.319136894,2.653997615,0.475592992,0.00058195,64.91529934,0.183839317,0.013606207,8.095206496,0,0,0,0,0,87.60617879,82.94571558,0
06,001,06001,0.08011792,0,1.749951203,16.31011462,0.944900934,0.001886952,0.167097738,3.423214872,0.080804003,3.815821342,0,0,0,0,0,71.50868753,21.78697609,0
06,002,06002,0.45056075,0.060394512,17.93768879,41.06408859,4.905368257,0.01142081,1.251790632,0,0.035731964,57.92572586,0,0,0,30.419,0,46.09090761,160.5538016,0.629977296
06,003,06003,0.04545309,1.559590152,1.792666548,12.54389205,0.373215995,0.001347587,0.24845792,0,0.00867364,23.25158222,0,0,0,0,0,0,15.03823576,0
06,004,06004,0.05176724,0.465841743,1.047214893,9.249091819,0.220343931,0.001411375,18.07962755,0,0.021747926,54.97898488,0,0,0,0,0,73.88101366,13.35762657,0
06,005,06005,0.06919488,0.671713424,1.445432136,8.237879804,1.520185217,0.00201603,0.546969657,0,0.001427761,96.13247892,0,0,0,0,0,87.77606669,31.79450432,0
06,006,06006,0.00888669,0,0.406661311,4.379505189,0.066976863,0.000398225,0.070465667,0.285267906,0.022792518,0.723195302,0,0,0,0,0,0,7.049716692,0
06,007,06007,0.49886473,0,9.697441572,43.21362737,3.363716932,0.013283061,6.42883778,0.285267906,0.153752403,25.96400787,0,0,565.6516672,15.288,0,88.45387415,159.6866328,0
