CVE ESTADO,CVE MUNICIPIO,Emisiones de PM10,,,,,,,,,,,,,,,,,,,,,,,,
,, Actividades_de_la_construccion , Asados_al_carbon , Banco_de_Materiales , Caminos_pavimentados_y_sin_pavimentar , Combustion_Agricola , Combustion_Comercial , Combustion_Domestica , Combustion_industrial , Corrales_de_engorda , Emisiones_domesticas_de_amoniaco , Incendios_en_construcciones , Incendios_Forestales , Labranza , Ladrilleras , Quema_de_Residuos , Quemas_Agricolas , Rellenos_Sanitarios ,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
05,009,05009,0,2.80376655,0,20.41865692,0.306617622,0.116414429,16.12052968,0.060891158,18.7609296,0,0.003314923,0,69.96265704,0,0.569506386,393.1403316,0,0,0,0,0,0,1.504406966,0
05,010,05010,0,6.4865034,0,0.610885869,0,0.121601877,4.075747424,0.228032611,0.1128804,0,0.011393237,0,15.88519878,0,0.041211573,7.236369462,0,0,0,0,0,0.759867242,0.214056915,0
05,011,05011,0,0.39503295,0,59.56333902,0.010521498,0.009527905,26.21960558,0.01592377,2.2596792,0,0.000484092,0,114.7474608,0,1.132113097,19.71149747,0,0,0,0,0,4.836720184,0.699745436,0
05,012,05012,0,0.0714753,0,10.05863359,0,0.001206064,0.679337822,0.000433019,9.7615656,0,0.00022768,0,6.99149564,0,0.039527678,14.09278539,0,0,0,0,0,0,0.232879765,0
05,013,05013,0,0.13183755,0,1.324308501,0,0.001929702,0.603077413,0,4.8041484,0,0.000207623,0,0.368441028,0,0.039308017,1.715462974,0,0,0,0,0,0,0.285482717,0
05,014,05014,0,0.37392615,0,15.13431907,0,0.007236384,2.824987842,0.008411875,5.1635016,0,0.00136554,0,15.4028205,0,0.334751395,40.16543626,0,0,0,0,0,3.204657499,0.259943372,0
05,015,05015,0,0.0749931,0,0.123566287,0,0.001447277,0.457893559,0.000433019,1.2261504,0,0.000212502,0,0.233663038,0,0.008727839,5.026666292,0,0,0,0,0,0,0.076692513,0
05,016,05016,0.002536769,0.15246465,0,0.108846006,0,0.002472431,0.534235416,0.003804125,0.31068,0,0.000204912,0,6.342373936,0,0.004256938,3.023941114,0,0,0,0,0,0,0.127111094,0
05,017,05017,0,6.08523435,0,20.47193454,0.504082254,0.158655081,16.64162713,0.118540457,23.1052716,0,0.007208796,0,82.85397348,5.819799604,0.880078345,447.479973,0,0,0,0,0,0,1.692544761,0
05,018,05018,0,19.5058812,0,4.023329873,0,0.628220225,9.745760576,0.473107895,0.8212308,0,0.035142353,0,8.727967464,0,0.112053439,3.493754893,0,0,0,0,0,0.409667557,0.585960294,0
05,019,05019,0,0.6109779,0,1.772773792,0,0.011095789,1.199153331,0.016436607,1.299678,0,0.001005046,0,36.98256638,0,0.01867172,13.14897689,0,0,0,0,0,0,0.182660917,0
05,020,05020,0,5.55596535,0,46.75752001,0,0.096485118,6.76545007,0.072274802,9.4715976,0,0.009505405,213.7552263,5.010189149,2.909899802,0.310408084,12.71098853,0,0,0,0,0,3.303770617,0.605539008,0
05,021,05021,0,0.3836001,0,0.895958742,0,0.004221224,3.040535771,0.003464149,0.507444,0,0.000886327,28.65316515,17.9743719,0,0.009546752,20.65106462,0,0,0,0,0,0.792904948,0.216896012,0
05,022,05022,11.7230228,2.5053132,0,3.818036679,0,0.027352001,3.568403909,0.0561317,3.0954084,0,0.004213172,0,76.68730762,11.63959921,0.063866352,20.00238808,0,0,0,0,0,2.986608638,95.47241888,0
05,023,05023,0,0.5364645,0,397.5417152,0,0.013266704,14.19750823,0.011108781,13.6771692,0,0.000719733,789.2095948,6.282498798,0,0.107007383,5.336416119,0,0,0,0,0,4.202396225,0.135318039,0
05,024,05024,0,2.86468845,0,253.1502802,0,0.077429307,66.77900408,0.055207676,3.0384504,0,0.002860642,0.793277431,196.301568,2.909899802,1.482313622,39.68229705,0,0,0,0,0,14.16656841,0.983139019,0
05,025,05025,0,13.61588475,0,1.868152881,0,0.416612747,13.12373812,0.410429561,1.8185136,0,0.023567092,0,9.00194418,14.54949901,0.079984514,18.68109332,0,0,0,0,0,0.733437077,0.17484418,0
05,026,05026,0,0.06595875,0,13.17036674,0,0.000723638,0.881433813,0,1.7750184,0,0.000398441,0,0.113775078,0,0.077552963,3.171119585,0,0,0,0,0,1.043991515,0.090777388,0
05,027,05027,0,6.92470935,0,145.0100917,0.008756637,0.158385603,41.59103521,0.798028817,3.1782564,0,0.012724625,0,74.02399521,2.909899802,0.546045162,59.55819168,0,0,0,0,0,12.11823062,0.64720369,0
05,028,05028,0,5.22976935,0,19.59303698,0,0.125068834,5.167551767,0.116710254,3.267318,0,0.009691462,0,0.643150407,5.819799604,0.213458045,9.448435895,0,0,0,0,0,3.032861427,0.322606317,0
05,029,05029,0,0.20187375,0,0.047516002,0,0.002532734,0.503326782,0.006552762,0.2454372,0,0.000284601,0,5.796558975,0,0.00113776,4.897550232,0,0,0,0,0,0,0.050440076,0
05,030,05030,0,65.9945676,0,198.6460013,0.050656877,1.644016959,117.2201249,1.529313104,2.4378024,0,0.10931099,23.96923181,154.0587744,325.9087778,1.818919474,27.7046952,0,0,0,0,0,14.662134,1.471205745,0.075162523
05,031,05031,0,1.8527613,0,2.322294948,0,0.032808928,3.763840185,0.026143251,4.1827884,0,0.003458574,57.56551038,32.60645403,0,0.049549008,24.15366386,0,0,0,0,0,0,0.384502337,0
05,032,05032,0,3.51516165,0,2.945891858,0,0.091118133,3.35944667,0.052280371,1.4788368,0,0.006667154,0,4.845002064,11.63959921,0.239903685,13.86910535,0,0,0,0,0,0,0.161201762,0
05,033,05033,0,5.28365565,0,80.93092764,0.106897638,0.141290394,54.41831441,0.144379912,4.3091316,0,0.004598723,1.260401714,345.110232,2.909899802,8.547575968,277.7291181,0,0,0,0,0,3.072506674,2.076957132,0
05,034,05034,0,0.40638585,0,43.66807745,0,0.009226389,5.596067098,0.001732075,4.2739212,0,0.000412333,0,36.11812578,0,0.169960929,33.49462722,0,0,0,0,0,7.327763229,0.30042817,0
05,035,05035,0,56.01928605,0,8.458708365,0,1.920972814,58.29432929,1.485222221,20.3505756,0,0.097845462,0,30.39552982,0,0.49831018,59.66206685,0,0,0,0.766,0,1.328115788,0.294698354,0
05,036,05036,0,0.31332405,0,49.17831396,0.172769972,0.006150926,33.21172855,0.000866037,3.660846,0,0.000524401,0,24.6586401,0,1.992314043,68.90457045,0,0,0,0,0,2.953570932,0.44203647,0
05,037,05037,0,0.4593927,0,2.721150154,0,0.007296687,1.575080932,0.012309043,4.3578048,0,0.000767066,0,30.48223985,0,0.049563435,19.06911486,0,0,0,0,0,1.539557108,0.283872911,0
05,038,05038,0.349009001,0.92110395,0,2.382533561,0,0.022191577,1.625412195,0.02377965,8.7860304,0,0.001539257,220.6181315,80.54551091,2.909899802,0.086172641,33.3789324,0,0,0,0,0,2.173881066,6.817384203,0
06,001,06001,1.637679626,2.1861528,0,15.62839725,0,0.12587843,55.01811342,0.056195254,1.4581248,0,0.004990987,0.566777463,45.83084329,54.18434114,0.511758686,14.49038585,0,0,0,0,0,1.774433996,1.404602946,0
06,002,06002,46.2498621,12.29431125,0,37.79512058,0.004199607,1.290303471,56.3157244,0.291732609,16.2827388,0,0.030208043,4.245938494,45.70725642,0,0.226302437,198.0103358,0,0,0,0.342,0,1.143711012,13.13252512,0.025411014
06,003,06003,2.56454657,1.24026435,0,12.64740037,0.108448022,0.128951054,43.39681491,0.022195943,2.402592,0,0.003564368,0.842742406,29.75868839,0,0.054933052,83.30484471,0,0,0,0,0,0,1.056392131,0
06,004,06004,0.211117201,1.4125566,0,6.468703314,0.032392879,0.075328825,27.91815527,0.013104319,2.7950844,0,0.003733087,61.32414211,38.55397705,0,0.137736862,176.7795845,0,0,0,0,0,1.833301475,0.891017,0
06,005,06005,3.020713641,1.8880992,0,8.038427584,0.04670842,0.103973601,13.36759888,0.090408625,8.2703016,0,0.0053324,1.855261943,71.93421104,0,0.009042488,340.7856497,0,0,0,0,0,2.178096706,2.335467253,0
06,006,06006,0.043026936,0.24248835,0,35.2356512,0,0.028277695,17.90617682,0.003983255,0.6182532,0,0.001053305,0.239011925,4.848280971,4.515361762,0.144352616,2.474598344,0,0,0,0,0,0,0.439398144,0
06,007,06007,78.20928307,13.61236695,0,85.38662873,0,0.674323546,86.09443434,0.200047349,4.7937924,0,0.035133696,21.80592274,29.77940559,4.515361762,0.973765219,91.94608058,0,0,0.1553472,0.23,0,2.194915986,12.48450425,0
06,008,06008,0.129997008,0.42237585,0,14.47342541,0,0.018148372,20.46362,0.003380973,1.8423324,0,0.00161331,13.56512325,11.58424796,0,0.021640396,54.80753121,0,0,0,0,0,0,0.881145642,0
06,009,06009,13.46022567,9.520446,0,57.82479677,0,0.480716841,137.0767375,0.289129937,7.3196208,0,0.020212682,7.384106049,112.1485213,13.54608529,1.295451875,49.82177996,0,0,0,0,0,2.03513283,3.747846375,0
06,010,06010,31.10725599,11.41598055,0,1.732579186,0.002639685,0.522147694,32.55120529,0.090177776,1.4167008,0,0.028383091,6.371353981,14.5273392,9.030723523,0.035520469,63.56593653,0,0,0,0,0,0,7.382741682,0
07,001,07001,0,0.6888492,0,2.567508344,0,0.035878044,69.72256319,0.022940712,0.5550816,0,0.000487143,1.63493499,10.69706905,0,1.313752677,12.13035588,0,0,0,0,0,0,0.131815093,0
07,002,07002,0,1.71452775,0,4.070807809,0,0.066389456,87.24776567,0.014758505,1.2768948,0,0.000833503,0,22.64218358,0,0.569745727,47.4208214,0,0,0,0,0,0,0.132960744,0
07,003,07003,0,0.7641621,0,13.12345718,0,0.046189213,117.848117,0.083559767,3.505506,0,0.000803106,1.75407499,17.3417174,0,2.572145511,47.2104868,0,0,0,0,0,1.27398085,0.475271285,0
07,004,07004,0,0.85634445,0,5.69452523,0,0.054148712,147.7506894,0.014958375,1.4270568,0,0.000570131,0.311416189,22.67947667,11.13789235,3.269526374,18.9080254,0,0,0,0,0,0,0.144657238,0
07,005,07005,0,0.32003985,0,1.013418611,0,0.008984586,110.0881436,0.002426439,2.3166372,0,0.000419818,0,18.87425361,0,0.36952239,12.14325355,0,0,0,0,0,0,0.126900268,0
07,006,07006,0,0.34098675,0,1.97584106,0,0.014532115,154.0532678,0.003184701,1.0625256,0,0.000558868,0.934248566,15.33667737,0,0.643970011,14.82302818,0,0,0,0,0,0,0.153352806,0
