CVE ESTADO,CVE MUNICIPIO,Emisiones de   PM2.5,,,,,,,,,,,,,,,,,,,,,,,,
,,Actividades_de_la_construccion,Asados_al_carbon, Banco_de_Materiales ,Caminos_pavimentados_y_sin_pavimentar,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Corrales_de_engorda,Emisiones_domesticas_de_amoniaco,Incendios_en_construcciones,Incendios_Forestales,Labranza,Ladrilleras,Quema_de_Residuos,Quemas_Agricolas,Rellenos_Sanitarios,Cruces_front,Embarca_marinas,Equi_basico_aeropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
06,008,06008,0.012999701,0.337098166,,2.156120369,0,0.018148372,19.7035539,0.002268097,0.21039436,0,0.001506569,11.51143925,2.568227773,0,0.019818046,52.69968349,0,0,0,0,0,0,0.854711273,0
06,009,06009,1.346022567,7.598267953,,8.616949599,0,0.480716841,132.0199935,0.193960322,0.835900695,0,0.018875359,6.266193579,24.86332717,12.37124514,1.186361191,46.14104158,0,0,0,0,0,1.828170169,3.635410984,0
06,010,06010,3.110725599,9.111094077,,0.258207644,0.002639685,0.522147694,31.41103414,0.060494982,0.161787231,0,0.026505192,5.406766526,3.2207111,8.247496762,0.032529272,60.11880671,0,0,0,0,0,0,7.161259431,0
07,001,07001,0,0.549770547,,0.303735539,0,0.035878044,67.1241997,0.014001759,0.063390319,0,0.000454913,1.387414951,2.371540208,0,1.203120873,11.65914273,0,0,0,0,0,0,0.12786064,0
07,002,07002,0,1.368364597,,0.481547663,0,0.066389456,83.99781746,0.009007786,0.145821386,0,0.000778356,0,5.019772099,0,0.521767139,45.6600403,0,0,0,0,0,0,0.128971922,0
07,003,07003,0,0.609877772,,1.552501415,0,0.046189213,113.4564849,0.051000321,0.400328785,0,0.000749971,1.488518471,3.844658748,0,2.355543784,43.99126771,0,0,0,0,0,1.144423475,0.461013147,0
07,004,07004,0,0.683448506,,0.669629137,0,0.054148712,142.2433693,0.009129775,0.162969887,0,0.00053241,0.264269515,5.028039978,10.17191267,2.994197837,18.15113271,0,0,0,0,0,0,0.14031752,0
07,005,07005,0,0.255423804,,0.11879102,0,0.008984586,105.9844857,0.001480966,0.264559968,0,0.000392042,0,4.184422025,0,0.338404715,11.64305731,0,0,0,0,0,0,0.12309326,0
07,006,07006,0,0.272141525,,0.232851083,0,0.014532115,148.3110007,0.001943768,0.121340424,0,0.000521892,0.792808544,3.400141372,0,0.589740957,14.18236468,0,0,0,0,0,0,0.148752222,0
07,007,07007,0,0.356814867,,0.042692043,0,0.00391945,52.22197239,0.066038116,0.068712267,0,0.000161597,0,1.878299028,10.17191267,0.505438787,8.544187508,0,0,0,0,0,0,0.045005698,0
