CVE ESTADO,CVE MUNICIPIO,Emisiones de   COV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aguas_Residuales,Aplicacion_de_plaguicidas,Artes_graficas,Asados_al_carbon,Asfaltado,Combustion_Agricola,Combustion_Comercial,Combustion_Domestica,Combustion_industrial,Esterilizaccion_de_material_hospitalario,Incendios_en_construcciones,Incendios_Forestales,Ladrilleras,Lavado_en_Seco,Limpieza_de_superficies_industriales,Manejo_y_distribucion_de_Combustibles,Manejo_y_Distribucion_de_gas_L.P.,Panificacion,Pintado_Automotriz,Pintura_para_se–alizacion_vial,Quema_de_Residuos,Quemas_Agricolas,Recubrimiento_de_superficies_arquitectonicas,Recubrimiento_de_superficies_en_la_Industria,Rellenos_Sanitarios,Uso_domestico_de_solventes,Cruces_front,Embarcaciones_marinas,Equipo_basico_eropouertos,Locomotoras_patio,Locomotoras_arrastre,Maquinara_agricola,Terminales_autobuses,
04,002,04002,779.8923469,15.31111241,112.1314759,2.84328031,12.04809317,0,0.879709147,839.8771422,0.233644183,0.51499,0.00274574,47.37966863,0,3.286576612,241.1203236,212.8241072,1050.930272,12.4867834,113.7997325,13.29166846,0.609468753,462.0168038,296.3651603,17.10167031,116.8820682,688.6377879,0,29.71815613,17.249,0,5.669795521,70.18864871,0.069007576
04,003,04003,188.4164696,7.949236125,44.41093466,2.4008179,16.7077293,0,0.795741976,833.4761143,0.085942741,0.27142,0.002182078,0,0,3.954263774,71.6412081,104.8862641,928.3587092,6.869818962,67.50172167,18.43226105,1.306472088,116.8221837,250.2372406,26.54769821,4.848642341,581.4762091,0,41.43039803,0,0,0,2.195819489,0
04,004,04004,17.25425546,23.14948661,3.925828479,0.66017614,18.17448834,0,0.160717138,1113.302539,0.046825648,0.041,0.000696961,0,0,0.285225584,66.66014556,52.07633702,297.4071782,3.946491744,16.34047441,20.05041545,0.789983423,456.8186915,68.82457434,2.116787803,1.235886616,159.8817755,0,0,0,0,7.482205405,5.73987435,0
04,005,04005,0,9.173688468,0,0.23134202,4.284405449,0,0.05611676,410.3535888,0.032006637,0.03608,0.000244648,0,0,0.051859197,13.28283343,6.126623498,94.31024774,2.129852687,2.334353487,4.726631506,1.913522345,258.4053546,24.10566164,1.205034506,0.070493,56.0381018,0,0,0,0,2.405853828,1.559731491,0
04,006,04006,0,30.45433055,0.98145712,0.16767829,12.39371536,0,0.050010246,618.2360054,0.005012167,0.02296,0.000289524,0,0,0.025929599,5.411524732,25.13773575,99.97009663,1.419901791,0.778117829,13.67296494,1.502545076,1001.015988,17.47409578,0.143585303,0.115352182,40.61499941,0,0,0,0,0,7.541515275,0
04,007,04007,0,3.706363144,0,0.0365612,3.90319614,0,0.020899019,134.9775292,0.000964711,0.00984,5.72178E-05,0,0,0.025929599,1.475870381,2.863558324,28.77709104,0.584665444,0.778117829,4.306074686,0.314968329,103.9671821,3.809537535,0.43075591,0.092966382,8.858415509,0,0,0,0,0,1.176919717,0
04,008,04008,0,4.6740998,0,0.09180353,2.927539453,0,0.018108973,150.9728711,0.016361757,0.00164,8.6844E-05,0,0,0.025929599,25.98146817,10.34834783,37.192467,0.856117257,0,3.229713056,0.100948735,119.2493708,9.561979357,0.599812145,0.032042273,22.22960873,0,0,0,0,1.62796109,2.08319881,0
04,009,04009,0,11.94212922,5.888742718,0.38334829,9.986602056,0,0.104758305,776.6395794,0.025444821,0.04592,0.000340937,0,0,0.285225584,20.75442724,39.22050332,181.6263971,3.090374487,11.67176744,11.01739517,1.074037085,140.6244974,39.94996581,4.963723327,0.352465,92.82310784,0,0,0,0,4.38667348,2.285129073,0
04,010,04010,0,12.65239827,0,0.04685174,18.07114332,0,0.037744575,585.8101115,0.003719482,0.01558,5.97521E-05,0,0,0.077788796,2.459783969,2.74710374,74.30038384,0.584665444,4.668706974,19.93640341,0.853015811,93.35904751,4.8933891,0.143585303,0.173028273,11.3584019,0,0,0,0,3.528585614,2.428803905,0
04,011,04011,0,8.834736097,1.962914239,0.11547588,17.80495161,0,0.045272433,770.934973,0.003316754,0.04592,0.000167891,0,0,0.077788796,4.735084141,23.24403042,116.9130741,0.668189078,5.446824803,19.64273602,1.25073013,59.88491839,12.03878089,1.205034506,0.1057395,27.96215221,0,0,0,0,0,5.634323027,0
