CVEMUN , SCC ,VOC,CO,NO,NO2,NH3,PM10,PM25,CN,CO2,SO2,CH4,Categoria
21057,2230071330,1.41060122,3.319041,1.093729141,0.335175059,0.002844751,0.209814234,0.179568044,,,0.027753469,, Veh>3.8Ton 
21057,2230074330,0.771551,1.357012,0.434829729,0.133254271,0.000962528,0.153159048,0.132195468,,,0.02107085,, Tractocamiones 
21057,2230075330,0,0,0,0,0,0,0,,,0,, Autobœs 
21058,2201001330,1.615067051,14.92113225,26.81817317,0.547309657,0.016273923,0.120795572,0.087152512,,,0.042945996,, Taxi 
21058,2201020330,2.244722133,19.04420563,12.05435776,0.246007301,0.020864745,0.185533461,0.138715612,,,0.057491964,, Autom—viles Particulares 
21058,2201020330,0.46949436,1.97578265,1.928413581,0.039355379,0.003474613,0.028529881,0.020211253,,,0.016153017,, Camioneta de Transporte Pœblico 
21058,2201040330,0.972727212,5.884585349,2.580463513,0.052662521,0.007439576,0.051084661,0.034730949,,,0.028037296,, Camionetas particulares 
21058,2201040330,10.13124588,70.01215096,23.13689882,0.472181609,0.064468693,0.81581193,0.636985821,,,0.239672678,, Pickup y Veh<3.8Ton 
21058,2201080330,0.100989446,1.290385676,0.042685026,0.000871123,0.001005704,0.002313429,0.001140342,,,0.000371613,, Motocicletas 
21058,2230071330,7.85276781,18.489172,6.065348938,1.858735962,0.017605686,1.290170633,1.103033087,,,0.170043371,, Veh>3.8Ton 
21058,2230074330,0.387321,0.681201,0.216725975,0.066416025,0.000481263,0.075891775,0.06550017,,,0.0105356,, Tractocamiones 
21058,2230075330,0.394709659,0.6529438,0.172342778,0.052814722,0.000557774,0.080797333,0.071147708,,,0.006522638,, Autobœs 
21059,2201001330,0.841255586,10.01619771,17.29200198,0.352898,0.007397257,0.037618669,0.020469242,,,0.02894708,, Taxi 
21059,2201020330,3.148200408,30.54640044,17.56578741,0.358485457,0.028987482,0.208201356,0.145278792,,,0.090546401,, Autom—viles Particulares 
21059,2201020330,0.7281092,3.229219,2.74603301,0.05604149,0.004116989,0.030235634,0.022723875,,,0.01633899,, Camioneta de Transporte Pœblico 
21059,2201040330,4.493179514,33.44060163,11.75996101,0.239999204,0.025227676,0.200767597,0.148420002,,,0.083716619,, Camionetas particulares 
21059,2201040330,9.698421952,80.58005235,23.84935657,0.486721563,0.048800974,0.621388051,0.486678948,,,0.187415819,, Pickup y Veh<3.8Ton 
21059,2201080330,0.04886515,0.644663166,0.021305534,0.000434807,0.000502852,0.001155718,0.000569288,,,0.000185462,, Motocicletas 
21059,2230071330,24.76488228,57.4854506,15.73747167,4.82277357,0.045106436,4.023119188,3.455931632,,,0.5001976,, Veh>3.8Ton 
21059,2230074330,1.78309869,2.94924662,1.034287077,0.316958943,0.00253782,0.277768884,0.232882646,,,0.056737372,, Tractocamiones 
21059,2230075330,4.8689093,8.3527529,2.742462764,0.840432136,0.006670954,0.775598889,0.657412727,,,0.145457833,, Autobœs 
21060,2201001330,0.343953299,3.046553562,5.910157278,0.120615455,0.003411174,0.01952167,0.010185148,,,0.012360834,, Taxi 
21060,2201020330,4.421573058,39.34803402,20.29760485,0.414236834,0.040989443,0.568312394,0.433193993,,,0.127967348,, Autom—viles Particulares 
21060,2201020330,0.42712786,1.819944,1.409145332,0.028758068,0.006674677,0.048275285,0.025950367,,,0.034060407,, Camioneta de Transporte Pœblico 
21060,2201040330,3.84392904,26.4332278,8.525342226,0.173986576,0.025179059,0.276138466,0.206304901,,,0.085777297,, Camionetas particulares 
21060,2201040330,26.03023941,211.666448,46.86483496,0.956425203,0.137740624,2.741057932,2.175413738,,,0.56042777,, Pickup y Veh<3.8Ton 
21060,2201080330,1.243914468,16.12515086,0.533073575,0.010879053,0.012571304,0.028905545,0.014243401,,,0.004640452,, Motocicletas 
21060,2230071330,3.50434559,6.92601,2.776983063,0.851010937,0.007124196,0.658897746,0.562960417,,,0.071267587,, Veh>3.8Ton 
21060,2230074330,0.533559,0.851379,0.281230469,0.086183531,0.000542213,0.088933625,0.075307239,,,0.0120264,, Tractocamiones 
21060,2230075330,1.7375179,5.88733765,1.666434483,0.510681535,0.015890314,0.123848022,0.09365795,,,0.034677297,, Autobœs 
21061,2201001330,0.053349301,0.602981535,1.30399958,0.026612236,0.000477672,0.002432866,0.001166761,,,0.002154482,, Taxi 
21061,2201020330,0.295377154,2.452495242,1.960929031,0.04001896,0.003383734,0.01577289,0.008933999,,,0.011226443,, Autom—viles Particulares 
21061,2201020330,0,0,0,0,0,0,0,,,0,, Camioneta de Transporte Pœblico 
21061,2201040330,0,0,0,0,0,0,0,,,0,, Camionetas particulares 
21061,2201040330,1.097369977,6.814207196,3.594339985,0.073353877,0.007241396,0.069365913,0.051367248,,,0.029112926,, Pickup y Veh<3.8Ton 
21061,2201080330,0.024619545,0.322393232,0.010657086,0.000217492,0.000251426,0.000577975,0.000284747,,,0,, Motocicletas 
21061,2230071330,125.6195357,400.627547,80.75851627,24.74857753,0.21395407,20.13070799,17.34662441,,,2.43226109,, Veh>3.8Ton 
21061,2230074330,34.234213,60.957246,20.71356141,6.347704294,0.054611044,8.00213185,6.853593279,,,1.20547934,, Tractocamiones 
21061,2230075330,41.707477,77.764105,24.3231427,7.453866301,0.056876419,6.744679801,5.726464962,,,1.24340049,, Autobœs 
21062,2201001330,0.245203172,2.72034587,4.882513401,0.099643131,0.001751792,0.009199728,0.005182166,,,0.006779074,, Taxi 
21062,2201020330,3.516063056,34.42164902,19.69750914,0.401989982,0.031608115,0.224532606,0.156903827,,,0.097391331,, Autom—viles Particulares 
21062,2201020330,0.76313619,5.028454,3.225011038,0.065816552,0.01431837,0.054446948,0.033382828,,,0.041796971,, Camioneta de Transporte Pœblico 
21062,2201040330,4.838104378,35.34784691,13.51030929,0.275720598,0.028213485,0.20487254,0.150312302,,,0.090273069,, Camionetas particulares 
21062,2201040330,16.12234035,136.6481193,36.88898553,0.752836439,0.084815856,1.134023539,0.893274201,,,0.321985113,, Pickup y Veh<3.8Ton 
21062,2201080330,1.799757011,23.53792429,0.777947559,0.015876481,0.01835411,0.042193436,0.020787689,,,0.006772115,, Motocicletas 
21062,2230071330,4.60595789,16.1810709,3.533089788,1.082721062,0.009425288,0.68616427,0.584216504,,,0.104024768,, Veh>3.8Ton 
21062,2230074330,0.018073151,0.033191099,0.010610802,0.003251698,0,0.004268071,0.003656493,,,0.000659184,, Tractocamiones 
21062,2230075330,0.079588813,0.15851349,0.04527508,0.013874621,0.000108972,0.013114247,0.011148072,,,0.002481407,, Autobœs 
21063,2201001330,1.638356344,17.23127561,32.03707708,0.6538179,0.014644341,0.074081116,0.040901369,,,0.054090961,, Taxi 
21063,2201020330,13.95848886,123.726939,82.70794466,1.687917238,0.123659783,0.912697652,0.658377294,,,0.342078128,, Autom—viles Particulares 
21063,2201020330,1.6783231,7.74106761,7.24118458,0.147779277,0.016033644,0.105228,0.067875475,,,0.072299243,, Camioneta de Transporte Pœblico 
21063,2201040330,8.123571911,54.17820817,22.33948448,0.455907847,0.052784773,0.35973267,0.258189082,,,0.167664066,, Camionetas particulares 
21063,2201040330,28.63822562,228.8549919,60.7703694,1.24021162,0.148923587,2.142592916,1.704720242,,,0.541535836,, Pickup y Veh<3.8Ton 
21063,2201080330,1.717220146,20.91025941,0.692013795,0.014122731,0.016342714,0.039536248,0.020249397,,,0.006039649,, Motocicletas 
21063,2230071330,35.55625784,127.0033104,24.26704954,7.436676462,0.061730291,4.200926167,3.547439465,,,0.674541059,, Veh>3.8Ton 
21063,2230074330,5.66010936,10.30424634,3.322148129,1.018077651,0.00716617,0.71720371,0.596374341,,,0.160773223,, Tractocamiones 
21063,2230075330,1.297412945,4.054618303,0.909714252,0.278783399,0.007137989,0.226059666,0.192028732,,,0.041007714,, Autobœs 
21064,2201001330,0.352498867,4.592087144,6.725272383,0.137250457,0.004353824,0.032271866,0.019681432,,,0.018858668,, Taxi 
21064,2201020330,1.537218859,12.93266277,9.035784332,0.184403762,0.015116689,0.124203017,0.089168111,,,0.046516004,, Autom—viles Particulares 
21064,2201020330,0.09580304,0.42549826,0.399904641,0.008161319,0.001173154,0.007399436,0.004418581,,,0.00584193,, Camioneta de Transporte Pœblico 
21064,2201040330,2.076599765,12.9320931,6.295829957,0.128486326,0.01472269,0.116922692,0.082478527,,,0.055724295,, Camionetas particulares 
21064,2201040330,10.37704169,76.74297229,22.6490732,0.462225984,0.057530749,0.991268916,0.801991385,,,0.211962167,, Pickup y Veh<3.8Ton 
21064,2201080330,0.142744164,1.932718544,0.063827707,0.001302606,0.001508555,0.003464755,0.001705751,,,0.000555558,, Motocicletas 
21064,2230071330,2.82288271,7.653225,2.091381322,0.640907178,0.005248938,0.36386075,0.311105275,,,0.049110067,, Veh>3.8Ton 
21064,2230074330,0,0,0,0,0,0,0,,,0,, Tractocamiones 
21064,2230075330,3.69212431,13.35416516,4.227248114,1.295447001,0.068373995,1.052018871,0.902631577,,,0.147352649,, Autobœs 
21065,2201001330,4.516940479,48.39051766,94.28100432,1.924102129,0.040869532,0.212874119,0.116384258,,,0.158223353,, Taxi 
21065,2201020330,5.733318038,51.44668371,32.80697554,0.669530113,0.053512411,0.393355732,0.280209005,,,0.154614811,, Autom—viles Particulares 
21065,2201020330,0.541710433,3.41129058,1.993576295,0.040685231,0.004625591,0.039740076,0.027688398,,,0.021114879,, Camioneta de Transporte Pœblico 
21065,2201040330,6.797919538,45.68592819,17.86722028,0.364637149,0.041591597,0.308777217,0.221981533,,,0.14184395,, Camionetas particulares 
21065,2201040330,38.04001859,297.7362752,85.99198151,1.754938398,0.219937303,2.610112198,2.046302832,,,0.745644479,, Pickup y Veh<3.8Ton 
21065,2201080330,0.078258331,0.968866012,0.032053789,0.000654159,0.000754279,0.001736103,0.000856168,,,0.000278939,, Motocicletas 
21065,2230071330,12.04587445,32.890128,12.0356074,3.688331296,0.030061764,1.547539902,1.312991243,,,0.239274417,, Veh>3.8Ton 
21065,2230074330,0.767483,1.350444,0.462059975,0.141599025,0.000962526,0.090111665,0.074106784,,,0.02142999,, Tractocamiones 
21065,2230075330,7.396298432,19.9218126,13.47776725,4.130283507,0.025513024,1.165355408,0.991604517,,,0.241319802,, Autobœs 
21066,2201001330,1.472266681,17.93082679,29.74472214,0.607035146,0.014292466,0.076726516,0.044226717,,,0.053199484,, Taxi 
21066,2201020330,10.22143555,100.9623813,58.64510545,1.196838887,0.085053868,0.714783608,0.535059529,,,0.228687807,, Autom—viles Particulares 
21066,2201020330,0.62339938,3.1035654,2.758702979,0.056300061,0.005509939,0.038441219,0.025718274,,,0.025608273,, Camioneta de Transporte Pœblico 
21066,2201040330,7.643654205,57.14341558,21.57862655,0.440380134,0.043138527,0.352620367,0.263626716,,,0.141321622,, Camionetas particulares 
21066,2201040330,29.00961025,249.2703053,63.49756777,1.29586873,0.14577559,1.949694529,1.54199499,,,0.525728399,, Pickup y Veh<3.8Ton 
21066,2201080330,0.223658378,2.903032617,0.09594903,0.001958143,0.002262834,0.005203231,0.002564015,,,0.000835269,, Motocicletas 
21066,2230071330,1.19125453,3.687086,0.535387069,0.164070231,0.002287437,0.095517764,0.076676342,,,0.023947278,, Veh>3.8Ton 
21066,2230074330,0,0,0,0,0,0,0,,,0,, Tractocamiones 
21066,2230075330,6.49182302,13.9866678,6.113387915,1.873457585,0.010262437,0.748030778,0.644230061,,,0.138379297,, Autobœs 
21067,2201001330,1.575107738,15.15856565,26.45903003,0.539980205,0.015887774,0.106843799,0.07086629,,,0.051156473,, Taxi 
21067,2201020330,9.286864455,79.409313,50.21106284,1.024715568,0.08833095,0.799531076,0.590896922,,,0.262894242,, Autom—viles Particulares 
21067,2201020330,0,0,0,0,0,0,0,,,0,, Camioneta de Transporte Pœblico 
21067,2201040330,7.003774848,45.20358532,18.03140603,0.367987878,0.045720439,0.403037123,0.296569176,,,0.162685989,, Camionetas particulares 
21067,2201040330,16.84026293,124.7932191,37.02383063,0.75558838,0.102865548,1.590365148,1.266242474,,,0.394355172,, Pickup y Veh<3.8Ton 
21067,2201080330,0.55765378,7.100578237,0.234716512,0.004790133,0.005531375,0.012724279,0.006272254,,,0.002043243,, Motocicletas 
21067,2230071330,13.44681978,37.456973,11.93459463,3.657375769,0.046196653,1.85270836,1.567100897,,,0.283927833,, Veh>3.8Ton 
21067,2230074330,2.4928261,4.130034,1.28992485,0.39529955,0.002887589,0.358333785,0.304618337,,,0.06118706,, Tractocamiones 
21067,2230075330,7.6127806,13.4655718,3.604799179,1.104696521,0.00795017,0.467244089,0.372064262,,,0.142928192,, Autobœs 
21068,2201001330,0.081131617,1.11128984,2.025940222,0.041345719,0.001433,0.004655183,0.001161865,,,0.006136738,, Taxi 
21068,2201020330,0.278605627,2.22173451,1.848831656,0.037731258,0.003165998,0.017324188,0.011247067,,,0.00913697,, Autom—viles Particulares 
21068,2201020330,0.702024626,5.24098284,2.871185019,0.058595613,0.016110111,0.063550166,0.037654867,,,0.046611354,, Camioneta de Transporte Pœblico 
21068,2201040330,0.225117431,1.267654131,0.863836753,0.017629321,0.001917549,0.008356145,0.004682356,,,0.007326871,, Camionetas particulares 
21068,2201040330,1.634718197,10.86369365,4.413005612,0.090061339,0.010846914,0.159101736,0.124709815,,,0.045327462,, Pickup y Veh<3.8Ton 
21068,2201080330,0.119044452,1.610628821,0.053191855,0.001085548,0.001257129,0.002887352,0.001421509,,,0.000462985,, Motocicletas 
21068,2230071330,0.35519942,0.832057,0.151461025,0.046415475,0.000521727,0.041519502,0.035015525,,,0.006124728,, Veh>3.8Ton 
21068,2230074330,0,0,0,0,0,0,0,,,0,, Tractocamiones 
21068,2230075330,0.751324,1.2527,0.370401012,0.113509988,0.000754875,0.045820556,0.036550654,,,0.0140427,, Autobœs 
21069,2201001330,0,0,0,0,0,0,0,,,0,, Taxi 
21069,2201020330,12.30636217,107.5465446,71.13294242,1.451692702,0.112947039,1.243861448,0.955724705,,,0.327031593,, Autom—viles Particulares 
21069,2201020330,3.488516586,16.06099105,13.17285012,0.268833676,0.033939492,0.259069486,0.173406462,,,0.157049333,, Camioneta de Transporte Pœblico 
21069,2201040330,20.04852229,131.3378842,58.70054948,1.197970398,0.124541204,1.350429591,1.054977406,,,0.393171241,, Camionetas particulares 
21069,2201040330,91.42447435,709.6112947,218.8313431,4.465945778,0.500651989,9.960841519,8.181883748,,,1.77792501,, Pickup y Veh<3.8Ton 
21069,2201080330,4.95006212,64.80466707,2.141843136,0.043711084,0.05053664,0.116169015,0.057230796,,,0.018644273,, Motocicletas 
21069,2230071330,53.07726215,133.429771,39.32026507,12.04975863,0.099942506,8.350658196,7.160881759,,,1.037415234,, Veh>3.8Ton 
21069,2230074330,2.59693988,4.1453007,1.596135241,0.489138219,0.004112313,0.59369676,0.507919981,,,0.087507179,, Tractocamiones 
21069,2230075330,5.61436964,10.6631706,3.34371003,1.02468533,0.010440125,0.863649995,0.730197405,,,0.158652725,, Autobœs 
21070,2201001330,0.192261268,2.263109655,4.472433314,0.091274149,0.002466024,0.009499656,0.00347771,,,0.01034273,, Taxi 
21070,2201020330,2.364700092,20.32205855,13.95282395,0.284751509,0.022418434,0.244021645,0.185749993,,,0.067991843,, Autom—viles Particulares 
21070,2201020330,0.12667641,0.63524762,0.576512705,0.011765565,0.002253812,0.011406648,0.00573134,,,0.010978543,, Camioneta de Transporte Pœblico 
21070,2201040330,4.238770743,29.73671024,10.91369587,0.222728487,0.025008553,0.35178771,0.28232875,,,0.080808628,, Camionetas particulares 
21070,2201040330,21.00947151,168.2825854,46.99620495,0.959106223,0.109129768,2.419289032,1.995139367,,,0.407697297,, Pickup y Veh<3.8Ton 
21070,2201080330,0.178129373,2.259726018,0.074692588,0.001524339,0.001759985,0.004049168,0.001996186,,,0.000650264,, Motocicletas 
