GRIDCODE,CVE_ENTCVE_MUN,Fa
49416,20526,0.040454545
49417,20526,0.019303416
49421,20153,0.066085889
49422,20153,0.0004955
49423,20153,0.000991995
49426,20153,0.00319446
49427,20344,0.229060048
49428,20291,0.00104998
49434,20085,0.036152111
49435,20085,0.024692021
49436,20085,0.013001661
49438,20085,0.014138711
49440,20012,0.0000844
49441,20012,0.002842501
49442,20306,0.217861938
49443,20306,0.091007114
49445,20253,0.003033921
49458,20266,0.000392054
49463,20125,0.000215946
49468,20307,0.001957502
49469,20307,0.068246509
49470,20307,0.00885445
49471,20453,0.126367186
49472,20453,0.149966995
49473,20453,0.003168063
49475,20453,0.062491228
49476,20453,0.04645015
49540,7097,0.001687773
49541,7097,0.007060032
49542,7097,0.007468874
49543,7097,0.002572825
49544,7097,0.004704524
50448,20414,0.003534577
50449,20414,0.024603879
50450,20414,0.006254067
50451,20467,0.005773954
50452,20467,0.001086885
50453,20467,0.003661159
50454,20467,0.02257791
50455,20467,0.030532178
50456,20334,0.006880884
50457,20334,0.017368956
50458,20334,0.017416835
50459,20334,0.016580698
50460,20334,0.015367407
50461,20334,0.017416835
50462,20334,0.011143004
50463,20334,0.001571141
50464,20334,0.001517032
50465,20334,0.000655878
50466,20334,0.003586685
50467,20334,0.009365375
50468,20334,0.0000391
50469,20364,0.012230134
50470,20364,0.023399887
50471,20364,0.056322417
50472,20364,0.029053744
50473,20364,0.027348429
50474,20364,0.01616478
50475,20526,0.063351234
50476,20526,0.080608208
50477,20526,0.03663831
50478,20153,0.00000101
50479,20153,0.021062423
50480,20153,0.097656054
50481,20153,0.005300876
50482,20153,0.003334435
50483,20159,0.102944332
50485,20344,0.106322491
50486,20344,0.02404113
50487,20291,0.112897183
50497,20085,0.0087608
50498,20085,0.030560645
50499,20254,0.036879333
50500,20254,0.004636599
50501,20279,0.046777485
50502,20279,0.050867806
50509,20211,0.002816821
50510,20211,0.020572337
50521,20125,0.013959159
50522,20125,0.097920482
50527,20307,0.005635182
50528,20307,0.014370267
50529,20307,0.013871611
50530,20307,0.014935396
50533,20453,0.00079835
50534,20453,0.059024114
50535,20453,0.01356107
50537,20515,0.004745555
50538,20515,0.00235336
50539,20515,0.000689136
50597,7097,0.001929963
50598,7097,0.008441134
50599,7097,0.008674925
50600,7097,0.001552725
50602,7097,0.002552919
50603,7097,0.000330884
51505,20414,0.00048336
51506,20414,0.020431564
51507,20414,0.040841718
51508,20414,0.047857783
51509,20414,0.004266039
51510,20467,0.004109162
51511,20467,0.001561486
51512,20467,0.00132153
51513,20467,0.016124719
51514,20467,0.030283936
51515,20334,0.011121821
51516,20334,0.009397654
51517,20334,0.007565142
51518,20334,0.010680946
51519,20334,0.015810757
51520,20334,0.01648494
51521,20334,0.011746169
51522,20334,0.003386322
51523,20334,0.000683635
51524,20334,0.004234017
51525,20334,0.01218583
51526,20334,0.012530515
51527,20334,0.003319827
51528,20364,0.064249715
51529,20364,0.004472411
51530,20364,0.042240708
51531,20364,0.007448544
51532,20364,0.017984135
51533,20526,0.02395398
51534,20526,0.038237399
51535,20526,0.074469174
51536,20526,0.07425437
51537,20153,0.14464116
51538,20153,0.181417301
51539,20153,0.078183649
51548,20113,0.175756179
51549,20113,0.461035147
51550,20366,1
51560,20279,0.167166306
51561,20279,0.264947999
51562,20236,0.072271343
51563,20236,0.317986423
51564,20236,0.114174259
51565,20424,0.032545874
51566,20424,0.011993861
51567,20211,0.089454057
51568,20211,0.482699188
51569,20211,0.291781081
51581,20125,0.003527262
51588,20307,0.020013087
51589,20307,0.02609494
51590,20307,0.004269383
51596,20515,0.003501714
51597,20515,0.035240825
51598,20515,0.008316173
51654,7097,0.00109087
51655,7097,0.005547386
51656,7097,0.007956906
51657,7097,0.002217427
51658,7097,0.000273174
51661,7097,0.005163486
51662,7097,0.003832511
52563,20482,0.001911061
52564,20414,0.000935592
52565,20414,0.038649942
52566,20414,0.05124568
52567,20414,0.043677761
52568,20414,0.015772593
52569,20467,0.000379545
52570,20467,0.0041373
52571,20467,0.000678647
52572,20467,0.015201346
52573,20334,0.0000626
52574,20334,0.011407623
52575,20334,0.013761741
52576,20334,0.005977928
52577,20334,0.003283516
52578,20334,0.003560476
52579,20334,0.010025203
52580,20334,0.003177525
52581,20334,0.000511896
52582,20334,0.001879975
52583,20334,0.007050491
52584,20334,0.007635934
52585,20334,0.014622679
52586,20334,0.003864435
52587,20364,0.042736456
52588,20364,0.00000148
52589,20364,0.033503306
52590,20364,0.017007838
52591,20364,0.014615605
52592,20526,0.045860883
52593,20526,0.076644943
52594,20526,0.059387369
52595,20526,0.053289784
52596,20153,0.003584374
52597,20153,0.133503527
52598,20153,0.154397786
52599,20159,0.028853267
52604,20344,0.158309085
52619,20279,0.06609693
52620,20236,0.002669298
52621,20236,0.389749138
52622,20424,0.029443893
52623,20424,0.100541407
52624,20424,0.14981881
52625,20211,0.048865574
52626,20211,0.000353784
52627,20211,0.060004527
52647,20307,0.009455577
52648,20307,0.008767304
52655,20515,0.005976994
52656,20515,0.013488609
52657,20515,0.002352911
52658,20515,0.014316064
52710,7097,0.000335275
52711,7097,0.003544751
52712,7097,0.00702285
52713,7097,0.006823639
52714,7097,0.004305922
52715,7097,0.011591126
52716,7097,0.010927004
52717,7097,0.010919321
52718,7097,0.003770475
52719,7097,0.005808895
52720,7097,0.005427073
52721,7097,0.006618164
53620,20482,0.005852819
53621,20482,0.01735461
53622,20482,0.024571776
53623,20482,0.024971919
53624,20414,0.011962722
53625,20414,0.050239775
53626,20414,0.04787851
53627,20414,0.0235734
53628,20467,0.000270967
53629,20467,0.002626139
53630,20467,0.022335848
53631,20467,0.021699146
53632,20334,0.00071024
53633,20334,0.009260502
53634,20334,0.010780679
53635,20334,0.00610779
53636,20334,0.000956674
53637,20334,0.002227997
53638,20334,0.001170343
53639,20334,0.004341268
53640,20334,0.001190261
53641,20334,0.006635463
53642,20334,0.002191742
53643,20334,0.0003149
53644,20272,0.660554433
53645,20272,0.339445567
53646,20364,0.010562617
53647,20364,0.075260418
53648,20364,0.048183802
53649,20364,0.022564377
53650,20364,0.006427795
53651,20526,0.034953617
53652,20526,0.018450911
53653,20433,0.143563477
53654,20202,0.125226801
53655,20526,0.000100106
53657,20153,0.000387664
53658,20159,0.12241973
53659,20159,0.179950535
53660,20159,0.04795123
53663,20344,0.0973349
53679,20254,0.097169661
53680,20254,0.122011366
53681,20424,0.032202646
53682,20424,0.10729751
53683,20424,0.183118017
53684,20211,0.00068503
53686,20211,0.002767601
53714,20515,0.004566326
53716,20515,0.017696204
53717,20515,0.037179375
53718,20515,0.006425352
53769,7097,0.003449524
53770,7097,0.002372627
53771,7097,0.000247624
53772,7097,0.001859251
53773,7097,0.011013944
53774,7097,0.012898001
53775,7097,0.011830101
53776,7097,0.012266795
53777,7097,0.005278074
53778,7097,0.004628973
53779,7097,0.010250288
53780,7097,0.004156315
54676,20482,0.001081269
54677,20482,0.004870438
54678,20482,0.005279151
54679,20482,0.002586276
54680,20482,0.009028725
54681,20482,0.023475385
54682,20482,0.024984841
54683,20414,0.009381765
54684,20414,0.05124568
54685,20414,0.043657798
54686,20414,0.02291389
54687,20467,0.004507634
54688,20467,0.008801755
54689,20467,0.020773058
54690,20467,0.018323838
54691,20467,0.027981879
54692,20334,0.006258057
54693,20334,0.000293148
54695,20334,0.005076527
54696,20334,0.003411351
54697,20334,0.0000804
54698,20334,0.0000747
54699,20334,0.007808144
54700,20334,0.003814825
54706,20364,0.003075579
54707,20364,0.017634699
54708,20364,0.0000383
54710,20433,0.411153718
54711,20433,0.141919892
54712,20202,0.022118641
54713,20202,0.274217756
54714,20202,0.116415531
54716,20159,0.038038562
54717,20159,0.000329573
54718,20159,0.057598812
54732,20391,0.125428786
54733,20391,0.008959913
54737,20254,0.081025306
54738,20254,0.296817905
54739,20254,0.085718064
54740,20424,0.034200968
54741,20424,0.028834833
54742,20424,0.039866151
54743,20424,0.001288867
54772,20515,0.004513208
54773,20515,0.011196004
54774,20515,0.019493071
54775,20515,0.02817965
54776,20515,0.029353827
54777,20515,0.018729799
54778,20515,0.0000177
54779,20515,0.001205764
54830,7097,0.000770899
54831,7097,0.011157352
54832,7097,0.012898001
54833,7097,0.012898001
54834,7097,0.012718315
54835,7097,0.011819415
54836,7097,0.005899573
54837,7097,0.009168552
54838,7097,0.002472328
54839,7097,0.002727339
55734,20482,0.004019792
55735,20482,0.0089451
55736,20482,0.000185607
55737,20482,0.001636714
55738,20482,0.007639096
55739,20482,0.019691223
55740,20482,0.024073504
55741,20482,0.016825296
55742,20414,0.002898725
55743,20414,0.050125863
55744,20414,0.042690776
55745,20414,0.005629715
55746,20414,0.001845149
55747,20467,0.012677701
55748,20467,0.009533663
55749,20467,0.020059693
55750,20467,0.028366296
55751,20334,0.003012895
55752,20334,0.00623413
55753,20334,0.0016468
55754,20334,0.002062837
55755,20334,0.000225227
55758,20334,0.006625323
55759,20334,0.001067072
55760,20334,0.000122824
55769,20433,0.018880916
55771,20202,0.043530814
55772,20202,0.033825141
55775,20159,0.051837888
55776,20159,0.004984407
55788,20263,0.1070143
55790,20391,0.104189405
55791,20391,0.098236603
55792,20095,0.000988171
55793,20095,0.006620968
55794,20095,0.006021898
55795,20254,0.051475568
55797,20347,0.089353146
55798,20347,0.020224375
55799,20347,0.043931038
55800,20424,0.001909838
55801,20512,0.245140598
55802,20512,0.169819963
55833,20515,0.014585982
55834,20515,0.015116708
55835,20515,0.019183411
55836,20515,0.000420325
55837,20515,0.001560401
55838,20079,0.035455471
55839,20079,0.00020975
55888,7097,0.0000747
55889,7097,0.006511362
55890,7097,0.012898001
55891,7097,0.012898001
55892,7097,0.012898001
55893,7097,0.012898001
55894,7097,0.012007044
55895,7097,0.007753691
55896,7097,0.001447182
55897,7097,0.00066991
55898,7097,0.004086618
56788,20507,0.005033506
56789,20482,0.002335865
56790,20482,0.003642582
56791,20482,0.00642737
56792,20482,0.005104136
56793,20482,0.012737764
56794,20482,0.00411674
56795,20482,0.005555527
56796,20482,0.00734686
56797,20482,0.005631652
56798,20482,0.008481261
56799,20482,0.005842851
56800,20482,0.020375352
56801,20414,0.014102732
56802,20414,0.02159258
56803,20414,0.032748528
56804,20414,0.024641722
56805,20414,0.012160786
56806,20467,0.015661505
56807,20467,0.0301155
56808,20467,0.024197897
56809,20467,0.01182716
56810,20467,0.005613174
56811,20334,0.00015451
56812,20334,0.005125787
56813,20334,0.0000896
56814,20334,0.003540982
56815,20334,0.000534919
56817,20334,0.008544124
56818,20334,0.011987801
56819,20334,0.003027386
56825,20364,0.015369801
56826,20364,0.038214385
56827,20364,0.000863849
56830,20202,0.071974698
56831,20202,0.095830063
56843,20291,0.095052302
56844,20291,0.02215245
56846,20263,0.085919882
56847,20263,0.807065817
56848,20391,0.014124514
56849,20391,0.172644132
56850,20391,0.288636063
56851,20095,0.046938438
56852,20095,0.189699621
56853,20095,0.236081097
56854,20095,0.131194239
56855,20347,0.051719643
56856,20347,0.139137665
56857,20347,0.153613299
56858,20347,0.104535859
56859,20347,0.001117211
56860,20512,0.026696282
56880,20008,0.024319799
56892,20515,0.0000225
56897,20079,0.035952062
56898,20079,0.018739854
56944,7009,0.0000646
56945,7009,0.000458912
56946,7009,0.001496206
56947,7009,0.000220752
56948,7097,0.01287046
56949,7097,0.012898001
56950,7097,0.012898001
56951,7097,0.010181028
56952,7097,0.009965414
56953,7097,0.004574303
56954,7097,0.0000652
57841,20485,0.014115467
57842,20485,0.06402017
57843,20485,0.091554279
57844,20485,0.061849847
57845,20507,0.024951015
57846,20507,0.069265345
57847,20482,0.001045254
57848,20482,0.0190121
57849,20482,0.024307701
57850,20482,0.020889663
57851,20482,0.009642718
57852,20482,0.004568821
57853,20482,0.00583546
57854,20482,0.009524934
57855,20482,0.002179428
57856,20482,0.000444187
57858,20482,0.007932212
57859,20414,0.008422462
57860,20414,0.032714587
57861,20414,0.019477518
57862,20414,0.017019796
57863,20414,0.018510562
57864,20414,0.037531098
57865,20467,0.020288943
57866,20467,0.016831877
57867,20467,0.013906618
57868,20489,0.036345162
57869,20489,0.024380388
57870,20489,0.02476001
57871,20467,0.000514818
57872,20467,0.005040207
57873,20467,0.00736651
57874,20467,0.000922994
57875,20543,0.088421212
57876,20334,0.000470889
57877,20334,0.000523023
57878,20334,0.002413094
57884,20364,0.021757049
57885,20364,0.023433247
57888,20202,0.000703357
57889,20202,0.139508829
57890,20202,0.025452118
57898,20159,0.000240833
