GRIDCODE,CVENTMUN,POB URBANA en CELL,POBTOT en MUN,Furb
70543,12080,0,3346,0
70544,12080,44,3346,0.01315003
70561,20185,570,4236,0.134560907
70594,20516,122,2091,0.058345289
70595,20229,1000,1081,0.92506938
70596,20229,0,1081,0
70602,20429,378,548,0.689781022
70609,20017,667,667,1
70611,20028,16,9748,0.001641362
70612,20028,693,9748,0.071091506
70614,20015,770,2851,0.270080673
70618,20203,188,1077,0.17455896
70619,20203,35,1077,0.032497679
70625,20449,29,1686,0.017200474
70626,20449,245,1686,0.145314353
70641,20204,6,486,0.012345679
70666,20053,718,1180,0.608474576
70667,20053,462,1180,0.391525424
70668,20305,1971,3941,0.500126871
70669,20305,325,3941,0.082466379
70671,20005,873,7202,0.121216329
70672,20005,1076,7202,0.149402944
70673,20030,4,7823,0.000511313
70679,20557,356,13683,0.026017686
70680,20557,2153,13683,0.157348535
70696,20525,14,7249,0.001931301
70697,20525,90,7249,0.012415506
71603,12080,9,3346,0.002689779
71615,12046,228,39923,0.005710994
71620,20185,222,4236,0.052407932
71621,20185,30,4236,0.007082153
71624,20415,129,1907,0.067645517
71625,20415,1088,1907,0.570529628
71631,20076,792,1362,0.581497797
71632,20076,11,1362,0.008076358
71653,20516,244,2091,0.116690579
71654,20516,443,2091,0.211860354
71666,20101,581,726,0.800275482
71667,20101,14,726,0.019283747
71670,20268,54,803,0.067247821
71671,20028,180,9748,0.018465326
71677,20203,104,1077,0.096564531
71678,20203,49,1077,0.04549675
71684,20449,502,1686,0.297746145
71685,20449,38,1686,0.022538553
71730,20005,23,7202,0.003193557
71731,20005,476,7202,0.066092752
71755,20525,4,7249,0.0005518
71756,20525,462,7249,0.063732929
72670,12046,34,39923,0.000851639
72674,12046,1519,39923,0.038048243
72681,20300,1004,4925,0.203857868
72682,20300,175,4925,0.035532995
72683,20415,73,1907,0.038280021
72684,20415,62,1907,0.032511799
72702,20450,291,1263,0.2304038
72703,20450,941,1263,0.745051465
72725,20241,373,1066,0.349906191
72726,20241,693,1066,0.650093809
72727,20069,220,1991,0.110497238
72728,20069,895,1991,0.449522853
72736,20203,86,1077,0.079851439
72737,20203,16,1077,0.014856082
72757,20064,8,1513,0.005287508
72787,20014,185,25381,0.007288917
72788,20014,1627,25381,0.064103069
72789,20014,413,25381,0.016272014
72793,20043,1286,86410,0.014882537
72794,20043,563,86410,0.00651545
73703,12030,163,11783,0.013833489
73704,12030,37,11783,0.003140117
73728,12046,158,39923,0.003957618
73729,12046,2289,39923,0.057335371
73730,12046,49,39923,0.001227363
73761,20450,4,1263,0.003167063
73762,20450,28,1263,0.022169438
73767,20448,1254,1342,0.93442623
73768,20448,88,1342,0.06557377
73786,20069,492,1991,0.247112004
73787,20069,384,1991,0.192867906
73789,20238,151,816,0.18504902
73796,20328,28,1089,0.025711662
73815,20064,72,1513,0.047587574
73816,20064,842,1513,0.556510245
73828,20440,896,896,1
73843,20472,408,2550,0.16
73844,20472,79,2550,0.030980392
73845,20508,321,1304,0.246165644
73847,20014,1736,25381,0.06839762
73848,20014,42,25381,0.001654781
73852,20043,629,86410,0.00727925
73853,20043,121,86410,0.001400301
73859,20505,154,5895,0.026123834
73864,20066,206,3173,0.064922786
73865,20066,277,3173,0.087299086
74739,12001,22,699326,3.14589E-05
74740,12001,25,699326,3.57487E-05
74741,12001,48,699326,6.86375E-05
74762,12030,108,11783,0.009165747
74763,12030,11,11783,0.000933548
74767,12025,26,3567,0.007289038
74788,12046,5,39923,0.000125241
74789,12046,4,39923,0.000100193
74790,12046,987,39923,0.024722591
74829,20491,850,850,1
74843,20398,59,3833,0.015392643
74844,20398,949,3833,0.247586747
74848,20238,665,816,0.81495098
74849,20072,154,2833,0.054359336
74850,20072,150,2833,0.052947406
74863,20333,178,1585,0.112302839
74874,20325,3,5868,0.000511247
74877,20357,90,906,0.099337748
74904,20508,31,1304,0.023773006
74917,20505,1,5895,0.000169635
74918,20505,1026,5895,0.174045802
74923,20066,51,3173,0.016073117
74924,20066,5,3173,0.001575796
75796,12001,2,699326,2.8599E-06
75797,12001,181,699326,0.000258821
75798,12001,69,699326,9.86664E-05
75799,12001,548,699326,0.000783612
75800,12001,9,699326,1.28695E-05
75818,12053,2469,20478,0.120568415
75826,12025,1764,3567,0.494533221
75844,12036,305,2856,0.106792717
75845,12036,305,2856,0.106792717
75846,12046,0,39923,0
75847,12046,0,39923,0
75851,12046,1060,39923,0.026551111
75852,12046,370,39923,0.009267841
75855,12071,36,6494,0.005543579
75880,20566,62,655,0.094656489
75896,20535,241,1295,0.186100386
75897,20535,1054,1295,0.813899614
75903,20398,1816,3833,0.473780329
75907,20049,127,1084,0.117158672
75908,20072,0,2833,0
75909,20072,0,2833,0
75922,20333,368,1585,0.232176656
75933,20325,19,5868,0.0032379
75936,20357,168,906,0.185430464
76854,12001,0,699326,0
76855,12001,17,699326,2.43091E-05
76856,12001,431,699326,0.000616308
76857,12001,1314,699326,0.001878952
76871,12053,819,20478,0.03999414
76872,12053,365,20478,0.017824006
76914,12071,794,6494,0.122266708
76921,20447,295,4854,0.060774619
76939,20566,457,655,0.697709924
76955,20420,547,1091,0.501374885
76956,20420,539,1091,0.494042163
76962,20358,0,1046,0
76966,20301,159,1447,0.109882516
76967,20049,273,1084,0.251845018
76968,20393,348,3545,0.098166432
76970,20162,172,1688,0.101895735
76971,20162,9,1688,0.005331754
76975,20561,304,2683,0.113306001
77008,20470,321,1652,0.194309927
77009,20470,364,1652,0.220338983
77070,7017,20,45469,0.00043986
77071,7017,202,45469,0.004442587
77911,12001,4,699326,5.71979E-06
77912,12001,2257,699326,0.003227393
77913,12001,220,699326,0.000314589
77914,12001,2038,699326,0.002914235
77915,12001,44,699326,6.29177E-05
77916,12001,1865,699326,0.002666854
77917,12001,612,699326,0.000875128
77918,12001,23,699326,3.28888E-05
77920,12001,99,699326,0.000141565
77930,12053,333,20478,0.016261354
77953,12052,0,18305,0
77954,12052,68,18305,0.003714832
77955,12052,784,18305,0.042829828
77956,12052,1,18305,5.46299E-05
77957,12052,849,18305,0.04638077
77969,12062,264,4359,0.06056435
77971,12071,7,6494,0.001077918
78020,20358,1,1046,0.000956023
78021,20358,120,1046,0.114722753
78025,20301,486,1447,0.335867312
78026,20132,351,1007,0.348560079
78027,20132,656,1007,0.651439921
78034,20561,310,2683,0.115542303
78067,20470,0,1652,0
78068,20470,967,1652,0.58535109
78129,7017,1134,45469,0.024940069
78130,7017,341,45469,0.007499615
78970,12001,1191,699326,0.001703068
78971,12001,5,699326,7.14974E-06
78972,12001,3155,699326,0.004511487
78973,12001,184,699326,0.00026311
78974,12001,789,699326,0.001128229
78975,12001,613,699326,0.000876558
79014,12052,363,18305,0.019830647
79028,12062,764,4359,0.175269557
79075,20271,3,758,0.003957784
79076,20271,755,758,0.996042216
79078,20378,931,1338,0.695814649
79079,20378,260,1338,0.19431988
79081,20387,1039,2422,0.42898431
79084,20007,241,2580,0.093410853
79085,20068,1524,15017,0.101484984
79086,20068,321,15017,0.021375774
79087,20068,34,15017,0.002264101
79088,20368,78,1733,0.045008656
79089,20284,18,3153,0.005708849
79092,20112,16,2412,0.006633499
79093,20112,366,2412,0.151741294
79133,20412,23,1487,0.015467384
80028,12001,1283,699326,0.001834624
80029,12001,1664,699326,0.002379434
80030,12001,1893,699326,0.002706892
80031,12001,329,699326,0.000470453
80032,12001,2059,699326,0.002944263
80033,12001,2553,699326,0.003650658
80132,20104,0,1202,0
80133,20104,0,1202,0
80136,20123,28,1707,0.016403046
80137,20378,146,1338,0.109118087
80140,20295,1481,8786,0.168563624
80141,20295,2281,8786,0.259617573
80142,20389,921,921,1
80143,20452,1712,3616,0.473451327
80144,20103,1241,5354,0.231789316
80145,20103,1416,5354,0.264475159
80146,20068,31,15017,0.002064327
80147,20368,174,1733,0.100403924
80148,20284,385,3153,0.122105931
80153,20475,1599,7744,0.206482438
80154,20131,271,8844,0.030642243
80155,20131,1400,8844,0.158299412
80158,20131,753,8844,0.085142469
80167,20325,725,5868,0.123551466
80168,20325,2017,5868,0.343728698
80192,20412,1464,1487,0.984532616
80213,20265,1104,1444,0.764542936
80249,7017,385,45469,0.008467307
80250,7017,495,45469,0.010886538
80252,7046,115,12494,0.009204418
80253,7046,675,12494,0.054025932
81085,12001,159,699326,0.000227362
81086,12001,450,699326,0.000643477
81087,12001,649,699326,0.000928036
81090,12001,33,699326,4.71883E-05
81091,12001,889,699326,0.001271224
81092,12001,915,699326,0.001308403
81093,12001,404,699326,0.000577699
81168,20377,29,932,0.03111588
81169,20377,286,932,0.306866953
81171,20500,71,1254,0.05661882
81172,20500,44,1254,0.035087719
81195,20123,136,1707,0.079671939
81196,20123,317,1707,0.185705917
81199,20295,23,8786,0.002617801
81200,20295,1533,8786,0.174482131
81201,20360,0,2617,0
81202,20360,0,2617,0
81204,20068,54,15017,0.003595925
81212,20475,111,7744,0.014333678
81213,20131,0,8844,0
81214,20131,4,8844,0.000452284
81217,20131,695,8844,0.078584351
81227,20325,0,5868,0
81250,20036,99,1542,0.064202335
81308,7017,2773,45469,0.060986606
81309,7017,1888,45469,0.041522796
81310,7017,131,45469,0.002881084
81311,7046,435,12494,0.034816712
81312,7046,921,12494,0.073715383
82145,12001,48,699326,6.86375E-05
82146,12001,60,699326,8.57969E-05
82150,12001,52,699326,7.43573E-05
82151,12001,11,699326,1.57294E-05
82216,20037,1,850,0.001176471
82217,20037,39,850,0.045882353
82227,20088,380,380,1
82228,20377,163,932,0.174892704
82230,20500,311,1254,0.24800638
82231,20500,297,1254,0.236842105
82233,20444,281,281,1
82240,20137,77,503,0.153081511
82258,20570,40,10986,0.003640998
82259,20570,1246,10986,0.113417076
82261,20360,1,2617,0.000382117
82262,20243,5,1730,0.002890173
82263,20530,958,1118,0.856887299
82273,20475,71,7744,0.009168388
82309,20036,1443,1542,0.935797665
82318,20010,120,5515,0.02175884
82319,20010,536,5515,0.097189483
82320,20010,10,5515,0.001813237
83204,12021,1846,27002,0.068365306
83205,12021,326,27002,0.01207318
83235,12012,33,15370,0.00214704
83236,12012,791,15370,0.051463891
83251,12052,140,18305,0.007648184
83275,20037,238,850,0.28
83276,20037,561,850,0.66
83291,20510,195,195,1
83292,20382,174,578,0.301038062
83293,20382,91,578,0.157439446
83299,20137,426,503,0.846918489
83313,20048,397,584,0.679794521
83314,20048,1,584,0.001712329
83317,20570,365,10986,0.033224103
83318,20013,1086,2753,0.39447875
83319,20369,1813,1813,1
83329,20233,6,1745,0.003438395
83332,20475,584,7744,0.075413223
83376,20513,942,5429,0.173512617
83377,20427,1368,4680,0.292307692
83378,20010,770,5515,0.13961922
83379,20010,147,5515,0.026654578
84259,12021,46,27002,0.001703578
84260,12021,9,27002,0.000333309
84270,12001,959,699326,0.00137132
84288,12056,73,7936,0.009198589
84289,12056,1867,7936,0.235257056
84294,12012,1405,15370,0.091411841
84295,12012,1658,15370,0.107872479
84310,12052,0,18305,0
84363,20108,14,1594,0.008782936
84364,20108,1580,1594,0.991217064
84368,20273,8,1169,0.006843456
84369,20273,7,1169,0.005988024
84374,20388,480,642,0.747663551
84377,20555,881,934,0.943254818
84378,20555,31,934,0.033190578
84379,20115,964,7943,0.121364724
84380,20565,19,27753,0.000684611
84383,20219,29,2545,0.011394892
84384,20051,1123,4297,0.261345125
84385,20051,2519,4297,0.586222946
84386,20118,37,2390,0.015481172
84387,20118,1304,2390,0.545606695
84388,20233,715,1745,0.40974212
84391,20298,127,8167,0.015550386
84392,20298,218,8167,0.026692788
84395,20226,578,1512,0.382275132
84396,20226,22,1512,0.014550265
84399,20194,561,1231,0.455727051
85318,12021,10,27002,0.000370343
85319,12021,53,27002,0.001962818
85329,12001,647,699326,0.000925177
85340,12053,21,20478,0.001025491
85341,12053,606,20478,0.029592734
85345,12056,1757,7936,0.221396169
85347,12056,0,7936,0
85404,20392,43,409,0.105134474
85427,20273,635,1169,0.543199316
85428,20273,520,1169,0.444824636
85433,20388,162,642,0.252336449
85436,20555,22,934,0.023554604
85437,20565,1023,27753,0.03686088
85438,20565,76,27753,0.002738443
85439,20565,2135,27753,0.07692862
85441,20349,116,1735,0.06685879
85442,20219,1102,2545,0.433005894
85446,20551,133,13821,0.009623037
85447,20551,361,13821,0.026119673
85449,20298,131,8167,0.016040162
85450,20298,4,8167,0.000489776
85451,20298,0,8167,0
85454,20226,882,1512,0.583333333
85455,20226,30,1512,0.01984127
85497,20057,665,22704,0.029289993
85498,20057,122,22704,0.005373502
85499,20057,111,22704,0.004889006
86381,12021,156,27002,0.00577735
86382,12021,1087,27002,0.040256277
86404,12056,340,7936,0.042842742
86454,20073,8,10925,0.000732265
86460,20481,74,403,0.183622829
86474,20255,594,1770,0.33559322
86475,20255,63,1770,0.03559322
86479,20274,156,463,0.336933045
86491,20292,291,295,0.986440678
86494,20023,1725,12360,0.139563107
86495,20342,883,1882,0.469181722
86496,20342,999,1882,0.530818278
86497,20403,1052,2283,0.460797197
86498,20403,292,2283,0.127901883
86500,20349,505,1735,0.291066282
86501,20349,1040,1735,0.599423631
86502,20380,1497,1835,0.815803815
86503,20197,3002,3002,1
86505,20551,50,13821,0.003617683
86506,20551,44,13821,0.003183561
86520,20517,667,1813,0.367898511
86525,20200,32,1668,0.019184652
86526,20200,0,1668,0
86535,20465,55,1361,0.040411462
86536,20465,942,1361,0.692138134
86556,20427,676,4680,0.144444444
86557,20427,1027,4680,0.219444444
86558,20057,260,22704,0.011451727
87440,12021,98,27002,0.003629361
87441,12021,0,27002,0
87486,12081,11,1707,0.006444054
87512,20020,156,1205,0.129460581
87513,20073,1571,10925,0.143798627
87518,20481,0,403,0
87519,20481,135,403,0.334987593
87522,20372,418,418,1
87525,20026,940,2447,0.38414385
87526,20026,171,2447,0.069881488
87528,20297,366,366,1
87533,20255,714,1770,0.403389831
87534,20255,1,1770,0.000564972
87535,20329,47,454,0.103524229
87536,20329,407,454,0.896475771
87537,20274,55,463,0.118790497
87538,20274,253,463,0.546436285
87550,20292,4,295,0.013559322
87553,20023,106,12360,0.008576052
87554,20385,280,67086,0.004173747
87555,20385,17,67086,0.000253406
87556,20083,632,6923,0.091289903
87559,20078,12,1080,0.011111111
87560,20078,0,1080,0
87561,20343,320,1471,0.217539089
87564,20356,0,1993,0
87565,20356,0,1993,0
87566,20560,1044,5565,0.187601078
87579,20517,623,1813,0.343629344
87580,20517,349,1813,0.192498621
87587,20323,635,1224,0.51879085
87590,20275,108,3860,0.027979275
87591,20231,451,2834,0.159139026
87592,20231,2383,2834,0.840860974
87595,20465,364,1361,0.267450404
87628,20407,2535,2540,0.998031496
87629,20407,5,2540,0.001968504
88508,12001,693,699326,0.000990954
88509,12001,0,699326,0
88572,20020,0,1205,0
88581,20133,150,489,0.306748466
88582,20269,118,1036,0.113899614
88583,20269,82,1036,0.079150579
88584,20026,23,2447,0.009399264
88585,20026,3,2447,0.001225991
88587,20297,0,366,0
88594,20564,1148,1148,1
88595,20329,0,454,0
88605,20494,402,402,1
88612,20023,561,12360,0.04538835
88613,20385,333,67086,0.004963778
88614,20385,68,67086,0.001013624
