GRIDCODE,CVENTMUN,Fb
51594,20453,0.019622455
51595,20515,0.009498087
51596,20515,0.008653425
51597,20515,0.000664056
51598,20515,0.006813576
51599,20515,0.00440454
51654,7097,0.00100063
51655,7097,0.003348822
51656,7097,0.004076067
51657,7097,0.002741853
51658,7097,0.003632794
51659,7097,0.003019225
51660,7097,0.003322598
51661,7097,0.002852683
51662,7097,0.006107674
52562,20482,0.000591508
52563,20482,0.006454199
52564,20482,0.009186426
52566,20414,0.002577457
52567,20414,0.025216398
52568,20414,0.034986181
52569,20467,0.019022257
52570,20467,0.019022178
52571,20467,0.018619766
52572,20467,0.010006676
52573,20334,4.38E-05
52574,20334,0.000989914
52575,20334,0.003154132
52576,20334,0.008015283
52577,20334,0.009903267
52578,20334,0.007980484
52579,20334,0.004093773
52580,20334,0.009977535
52581,20334,0.011845351
52582,20334,0.010886733
52583,20334,0.007263734
52584,20334,0.006853512
52585,20334,0.001957875
52586,20334,9.21E-05
52587,20364,0.010289649
52588,20364,0.015711354
52589,20364,0.011461041
52590,20364,0.015697127
52591,20364,0.00461432
52592,20526,0.047730199
52593,20526,0.040380658
52594,20526,0.036738564
52595,20526,0.014387962
52596,20153,0.016146687
52597,20153,0.034493124
52598,20153,0.032129369
52599,20153,0.015250386
52600,20159,0.01622343
52601,20159,0.01622343
52602,20159,0.01622343
52603,20159,0.01300099
52604,20159,7.06E-06
52605,20291,0.005211291
52606,20113,0.011103338
52607,20113,0.037610949
52608,20113,0.076807869
52609,20113,0.0110985
52610,20366,0.071313672
52611,20263,0.001807094
52612,20085,5.11E-05
52613,20085,0.009253015
52614,20085,0.00956261
52615,20085,0.001963082
52616,20254,0.043660494
52617,20254,0.043088619
52618,20254,0.007878446
52619,20279,0.127748562
52620,20279,0.095844583
52621,20236,0.104779633
52622,20236,0.082071509
52623,20424,0.045792018
52624,20424,0.025789982
52625,20211,0.012033463
52626,20211,0.027520163
52627,20211,0.042223397
52628,20148,0.115357754
52629,20148,0.178612028
52630,20148,0.034539706
52631,20211,0.023811534
52632,20266,0.017747839
52633,20266,0.017747839
52634,20125,8.75E-06
52635,20125,0.00239807
52636,20125,0.003984564
52637,20125,0.003984564
52638,20125,0.003984564
52639,20125,0.003984564
52640,20125,0.003984564
52641,20125,0.001111756
52642,20410,0.017036321
52643,20410,0.017036321
52644,20307,0.010686485
52645,20307,0.014924396
52646,20307,0.014924396
52647,20307,0.013682813
52648,20307,0.013773188
52649,20307,0.014924396
52650,20307,0.014924396
52651,20307,0.014295709
52652,20307,0.005273757
52653,20453,0.002160227
52654,20515,0.009498087
52655,20515,0.008056353
52656,20515,0.0059802
52657,20515,0.008922936
52658,20515,0.002465058
52709,7097,0.000236133
52710,7097,0.000436414
52711,7097,0.001989365
52712,7097,0.00433698
52713,7097,0.004849406
52714,7097,0.003943666
52715,7097,0.005686171
52716,7097,0.005964266
52717,7097,0.004932586
52718,7097,0.001699408
52719,7097,0.002750724
52720,7097,0.005869653
52721,7097,0.006107674
53619,20482,0.000546353
53620,20482,0.002822023
53621,20482,0.003128807
53622,20482,0.008721736
53623,20482,0.013115715
53624,20414,0.000435005
53625,20414,0.043556177
53626,20414,0.04943459
53627,20414,0.044163511
53628,20467,0.019022257
53629,20467,0.017464752
53630,20467,0.005775361
53631,20467,0.006152975
53632,20334,0.000333441
53633,20334,0.005396978
53634,20334,0.006167157
53635,20334,0.007924288
53636,20334,0.011533693
53637,20334,0.010642873
53638,20334,0.011383975
53639,20334,0.009162096
53640,20334,0.011370018
53641,20334,0.007554546
53642,20334,0.010668277
53643,20272,0.002389707
53644,20272,0.026278583
53645,20272,0.021300322
53646,20364,0.01241436
53647,20364,0.006163395
53648,20364,0.009598554
53649,20364,0.012848842
53650,20364,0.003501372
53651,20526,0.026363602
53652,20433,0.043710594
53653,20433,0.233761353
53654,20202,0.013734179
53655,20153,0.002731326
53656,20153,0.018617159
53657,20153,0.016968805
53658,20153,1.83E-06
53659,20159,0.006372632
53660,20159,0.013598498
53661,20159,0.01622343
53662,20159,0.01622343
53663,20159,0.003118693
53664,20344,0.046126789
53665,20291,0.015432694
53666,20291,0.05001453
53667,20113,0.023976759
53668,20113,0.001670581
53669,20263,0.021049991
53670,20263,0.063456788
53671,20263,0.0746632
53672,20254,0.002602103
53673,20254,0.03302809
53674,20254,0.043660494
53675,20254,0.043660494
53676,20254,0.043660494
53677,20254,0.030373761
53678,20254,0.019317321
53679,20254,0.011295613
53680,20254,0.005798158
53681,20424,0.07353119
53682,20424,0.04304967
53683,20424,0.012273606
53684,20211,0.024977335
53685,20211,0.046224683
53686,20148,0.046691978
53687,20148,0.175500755
53688,20148,0.148769756
53689,20148,0.045137994
53690,20125,2.68E-05
53691,20125,0.001900338
53692,20125,0.002901476
53693,20125,0.003465213
53694,20125,0.003984564
53695,20125,0.003984564
53696,20125,0.003984564
53697,20125,0.002584891
53698,20125,0.001873386
53699,20125,0.003489175
53700,20125,2.80E-06
53701,20410,0.017036321
53702,20410,0.017036321
53703,20008,0.022131593
53704,20008,0.034057165
53705,20307,0.014924396
53706,20307,0.014924396
53707,20307,0.014924396
53708,20307,0.014924396
53709,20307,0.014924396
53710,20307,0.01244047
53711,20307,0.002757322
53712,20515,0.009493472
53713,20515,0.009498087
53714,20515,0.008396626
53715,20515,0.009498087
53716,20515,0.004883274
53765,7097,1.60E-05
53766,7097,0.000230718
53767,7097,0.001316259
53768,7097,0.000414745
53769,7097,0.003220692
53770,7097,0.00318056
53771,7097,0.001203698
53772,7097,0.00387913
53773,7097,0.005464212
53774,7097,0.003973511
53775,7097,0.003290196
53776,7097,0.001994321
53777,7097,0.005938217
53778,7097,0.006028693
53779,7097,0.006107674
53780,7097,0.006107674
54676,20482,0.001294208
54677,20482,0.004571822
54678,20482,0.005837202
54679,20482,0.006646069
54680,20482,0.008523051
54681,20482,0.001184799
54682,20482,0.004969562
54683,20482,0.002822541
54684,20414,0.0180649
54685,20414,0.0407979
