GRIDCODE,CVENTMUN,Ft
67490,20124,0.172289407
67496,20043,0.031234145
67497,20043,0.081076437
67498,20043,0.017006034
67507,20130,0.200536513
68432,12023,0.022999948
68433,12023,0.061722007
68434,12023,0.094989723
68435,12046,0.035791146
68461,20466,0.071377138
68467,20386,0.158332038
68468,20386,0.05553045
68469,20386,0.277604807
68470,20386,0.151964222
68471,20158,0.051429811
68472,20516,0.016643832
68473,20516,0.177611173
68492,20080,0.400800203
68493,20080,0.111123072
68515,20125,0.009827488
68516,20125,0.157884778
68535,20052,0.023367413
68536,20052,0.080448412
68537,20418,0.005000653
68541,20418,0.028297688
68542,20418,0.033935909
68549,20124,0.014165955
68550,20124,0.019836665
68555,20043,0.033433655
68566,20130,0.091449916
69492,12046,0.014464359
69493,12046,0.089604785
69494,12046,0.073060097
69495,12046,0.107761436
69496,12046,0.051270979
69520,20466,0.115638925
69531,20516,0.011301379
69532,20516,0.066098775
69533,20516,0.02300808
69537,20229,0.07635125
69538,20229,0.278239216
69539,20277,0.055069454
69540,20277,0.050525276
69541,20277,0.009887286
69543,20429,0.088243508
69544,20277,0.026864957
69552,20028,0.235359792
69553,20028,0.107237047
69555,20015,0.298109878
69575,20125,0.006229405
69580,20204,0.016191914
69581,20204,0.018124988
69582,20204,0.168624509
69595,20418,0.035400439
69596,20418,0.049129691
69597,20418,0.061304256
69598,20418,0.008648253
69600,20418,0.057604298
69609,20124,0.001932595
69610,20305,0.998956329
69611,20305,0.001043671
69622,20557,0.213929094
69623,20557,0.123589575
69624,20066,0.062066927
69625,20066,0.258588525
69649,7017,0.005699329
69650,7017,0.05958783
70555,12046,0.121332504
70556,12046,0.036802108
70592,20516,0.134974089
70593,20516,0.157194489
70594,20516,0.103373207
70595,20516,0.049055487
70596,20229,0.328065887
70599,20277,0.036753058
70600,20429,0.179683934
70601,20429,0.301994817
70602,20429,0.058684792
70609,20017,0.217680507
70610,20017,0.180770591
70611,20542,0.426125864
70612,20028,0.103353917
70613,20028,0.231120485
70614,20015,0.425422662
70625,20449,0.078017586
70639,20204,0.15000459
70640,20204,0.46916081
70641,20204,0.174421116
70655,20418,0.033859581
70656,20418,0.052650632
70657,20418,0.015739417
70658,20418,0.018165184
70659,20418,0.039217866
70670,20005,0.002616798
70680,20557,0.123712355
70681,20557,0.173550511
70682,20557,0.250157629
70683,20066,0.076239959
70709,7017,0.103894473
71614,12046,0.004236242
71615,12046,0.084412541
71624,20415,0.071856856
71631,20076,1
71652,20516,0.055402611
71653,20516,0.003868333
71665,20017,0.056192042
71667,20241,0.107396038
71668,20017,0.332856454
71684,20449,0.26124495
71685,20449,0.165066753
71698,20204,0.003472074
71712,20418,0.043883806
71713,20418,0.049628023
71714,20418,0.015221516
71716,20418,0.033886452
71717,20418,0.059139788
71730,20005,0.02481004
71731,20005,0.036683892
71744,20066,0.016779136
71745,20066,0.058871054
71765,7017,0.040284316
71767,7017,0.002051939
71768,7017,0.06158875
71775,7046,0.045780166
71776,7046,0.05404369
72674,12046,0.020783023
72683,20415,0.928143144
72721,20277,0.032420377
72722,20277,0.007110482
72723,20398,0.26549096
72724,20017,0.087642309
72726,20241,0.892603962
72744,20449,0.37182704
72769,20440,0.106494759
72770,20418,0.043635025
72771,20418,0.011233851
72775,20418,0.049427162
72790,20005,0.095795494
72791,20005,0.061615589
72792,20005,0.078665925
72804,20066,0.304654649
72822,20265,0.026312792
72823,7017,0.052879155
72824,7017,0.042487847
72835,7046,0.014207908
72836,7046,0.061153107
73742,20300,0.073928263
73767,20448,0.312807105
73768,20448,0.351989663
73769,20491,0.065584548
73770,20491,0.070815384
73778,20535,0.205423991
73780,20277,0.068161803
73781,20155,0.010162806
73782,20277,0.007126209
73796,20328,0.245448418
73803,20449,0.123843672
73804,20333,0.032001465
73814,20064,0.27116353
73815,20064,0.323382018
73816,20064,0.051892127
73817,20357,0.150354897
73828,20440,0.50468738
73833,20418,0.048266371
73834,20418,0.036739422
73843,20472,0.141342775
73850,20005,0.025511388
73851,20005,0.000164202
73852,20005,0.063752284
73853,20043,0.002559567
73855,20005,0.001696983
73857,20043,0.031882262
73863,20066,0.147483844
73880,20265,0.044965842
73881,20265,0.017744909
73889,7017,0.047856465
73890,7017,0.059249989
73895,7046,0.016754126
73896,7046,0.096347671
74781,12013,0.150940264
74816,20377,0.146241581
74825,20491,0.034600714
74826,20491,0.032567754
74829,20491,0.0742562
74830,20491,0.201723127
74837,20535,0.026788574
74838,20535,0.264951274
74839,20277,0.024502241
74854,20162,0.070622806
74855,20328,0.375374242
74863,20333,0.332585269
74876,20357,0.516114411
74877,20357,0.183775336
74891,20470,0.008612221
74892,20418,0.027231551
74901,20472,0.187505648
74902,20472,0.031824469
74912,20005,0.059040937
74913,20005,0.017298763
74914,20005,0.033316698
74915,20043,0.074568912
74916,20043,0.015955381
74938,20265,0.013419982
74939,20265,0.061244457
74955,7046,0.078862323
74956,7046,0.037988821
75826,12025,0.437071971
75840,12013,0.630418134
75845,12036,1
75851,12046,0.07473919
75852,12046,0.018595808
75855,12071,0.040319958
75875,20377,0.101577797
75876,20377,0.019644136
75884,20491,0.101557299
75889,20491,0.006618716
75890,20277,0.001267446
75891,20277,0.01466273
75892,20570,0.002907166
75896,20535,0.108905715
75897,20535,0.073251905
75908,20072,1
75912,20162,0.289081472
75913,20162,0.136526584
75922,20333,0.041694826
75936,20357,0.149755357
75950,20470,0.128889516
75951,20470,0.001581966
75959,20472,0.098472571
75960,20472,0.207059553
75975,20043,0.020711903
75997,20265,0.057369275
76013,7046,0.011708774
76014,7046,0.040633471
76017,7046,0.002764478
76871,12053,0.020166343
76885,12025,0.111157612
76886,12012,0.048315661
76887,12012,0.004434485
76899,12013,0.140959925
76900,12013,0.077681677
76910,12062,0.098012229
76911,12046,0.105133617
76912,12071,0.094499574
76913,12071,0.118885532
76914,12071,0.044512845
76925,20447,0.092806399
76934,20377,0.103189079
76947,20491,0.065362847
76948,20277,0.001600369
76950,20570,0.023346723
76951,20570,0.098545837
76952,20570,0.092053467
76953,20420,0.076089034
76954,20420,0.322184006
76955,20420,0.127990995
76970,20162,0.063729601
76971,20162,0.041312032
76985,20333,0.224405532
77008,20470,0.060525492
77009,20470,0.040665755
77017,20412,0.021024911
77018,20472,0.144132544
77034,20265,0.012150413
77035,20265,0.016061985
77056,20265,0.055199959
77071,7017,0.105929415
77072,7017,0.045939639
77930,12053,0.04730748
77931,12053,0.016633111
77945,12012,0.02015496
