GRIDCODE,CVENTMUN,Furb,Frur,Fpob,Purb_T,Prur_T,P_tot
178541,9014,0.22730587,0,0.22730587,87613,0,87613
178542,9006,0.06054708,0,0.06054708,23270,0,23270
178543,9006,0.40354748,0,0.40354748,155095,0,155095
178544,9006,0.23812931,0,0.23812931,91520,0,91520
178545,9006,0.14200594,0,0.14200594,54577,0,54577
178546,9007,0.02718549,0,0.02718549,49363,0,49363
178547,9007,0.00089218,0,0.00089218,1620,0,1620
178548,15031,0.11692193,0,0.11652803,71601,0,71601
178549,15029,0.09270815,0,0.09157798,16031,0,16031
178550,15029,0.02669458,0.00749766,0.02646056,4616,16,4632
178551,15029,0.00091372,0.08200562,0.00190228,158,175,333
178552,15029,0,0.04217432,0.00051413,0,90,90
178553,15039,0.00535177,0.06300332,0.00639339,2456,532,2988
178554,15039,0,0.00213169,0.0000385,0,18,18
178560,21180,0,0.1050318,0.03075196,0,1123,1123
178561,21180,0,0.18340816,0.05369955,0,1961,1961
178562,21180,0,0.0171156,0.00501123,0,183,183
178563,21134,0.00295359,0,0.00217504,42,0,42
178564,21134,0.00021097,0.09724951,0.02578975,3,495,498
178565,21134,0,0.31159136,0.08213361,0,1586,1586
178566,29015,0.13521785,0.00242131,0.09622003,3358,25,3383
178567,29015,0,0.09878935,0.02901106,0,1020,1020
178569,29015,0,0.05355932,0.01572855,0,553,553
178570,29015,0,0.03234867,0.0094997,0,334,334
178572,29024,0.06768455,0.16199675,0.10693251,993,1694,2687
178573,29024,0.04478222,0,0.02614613,657,0,657
178574,29001,0,0.98948752,0.07625317,0,753,753
178575,29001,0.00592495,0.01051248,0.00627848,54,8,62
178576,29001,0.18400263,0,0.16982279,1677,0,1677
178577,29001,0.00724161,0,0.00668354,66,0,66
178578,29009,0.28566243,0,0.15534939,787,0,787
178579,29009,0.12450091,0,0.06770628,343,0,343
178580,29038,0,0.10350076,0.01861611,0,272,272
178581,29035,0.11214953,1,0.11612095,624,25,649
178582,29013,0,0.08300116,0.01519199,0,1291,1291
178583,29013,0,0.00977241,0.00178868,0,152,152
178584,29013,0,0.02308088,0.00422457,0,359,359
178585,29013,0.06051134,0.00051434,0.04952988,4201,8,4209
178586,29013,0,0.04635464,0.00848445,0,721,721
178587,29008,0,0.00587901,0.00226757,0,31,31
178588,29008,0,0.02598142,0.01002121,0,137,137
178589,29004,0,0.00553308,0.00420458,0,67,67
178590,29004,0,0.04682468,0.03558205,0,567,567
178591,29008,0,0.00037929,0.0001463,0,2,2
178592,29008,0,0.11227006,0.04330334,0,592,592
178593,29007,0,0.49061662,0.03572358,0,549,549
178594,21108,0,0.10637655,0.04247361,0,704,704
178595,21108,0,0.014657,0.00585219,0,97,97
178596,21108,0,0.00196434,0.00078431,0,13,13
178598,21108,0,0.18495014,0.07384615,0,1224,1224
178601,21067,0,0.07213014,0.02839708,0,470,470
178603,21067,0,0.00122775,0.00048335,0,8,8
178604,21067,0,0.00107428,0.00042294,0,7,7
178605,21067,0,0.00138122,0.00054377,0,9,9
178606,21067,0,0.1368938,0.05389403,0,892,892
178607,21093,0,0.29132172,0.26277842,0,2041,2041
178608,21093,0,0.04367685,0.03939745,0,306,306
178611,30025,0.148389,0.14531835,0.14613451,1004,2716,3720
178612,30025,0.26071534,0,0.06929604,1764,0,1764
178613,30079,0.31038418,0.01050031,0.08401716,816,85,901
178614,30079,0,0.028042,0.02116748,0,227,227
178615,30079,0,0.08647313,0.06527415,0,700,700
178616,30046,0.00519818,0.09229934,0.06663263,24,1020,1044
178617,30046,0.85748321,0.02316532,0.26901966,3959,256,4215
178618,30046,0.13731861,0.2181703,0.19434516,634,2411,3045
178619,30046,0,0.08786535,0.06197345,0,971,971
178620,30046,0,0.20649715,0.14564718,0,2282,2282
178621,30024,0,0.00019831,0.00013686,0,2,2
178625,30088,1,0.01914358,0.60587045,2955,38,2993
178626,30017,0.0058309,0,0.0009933,4,0,4
178627,30017,0.9941691,0,0.16935684,682,0,682
178629,30017,0,0.15474409,0.12838341,0,517,517
178630,30017,0,0.02095181,0.01738267,0,70,70
178631,30017,0,0.00179587,0.00148994,0,6,6
178632,30134,0,0.01560189,0.00976716,0,211,211
178634,30134,0,0.04229518,0.0264778,0,572,572
178635,30134,0.04295086,0.02159125,0.02957923,347,292,639
178636,30134,0,0.02868974,0.01796047,0,388,388
178637,30126,0,0.00513553,0.00353021,0,115,115
178638,30126,0,0.09391328,0.06455673,0,2103,2103
178639,30126,0,0.03773501,0.02593934,0,845,845
178640,30016,0,0.05274657,0.0132549,0,338,338
178641,30016,0,0.23455056,0.05894118,0,1503,1503
179397,14043,0,0.00032181,0.00021342,0,5,5
179398,14043,0,0.0005149,0.00034147,0,8,8
179403,14043,0,0.00038618,0.0002561,0,6,6
179407,14043,0,0.00263886,0.00175004,0,41,41
179415,14027,0,0.00047538,0.00040411,0,7,7
179417,14027,0,0.01582343,0.0134511,0,233,233
179420,14027,0,0.0104584,0.00889043,0,154,154
179421,14027,0,0.002309,0.00196282,0,34,34
179422,14027,0,0.00332767,0.00282877,0,49,49
179423,14027,0,0.00713073,0.00606166,0,105,105
179425,14027,0,0.01358234,0.01154601,0,200,200
179426,14027,0,0.03721562,0.03163607,0,548,548
179427,14027,0,0.00821732,0.00698534,0,121,121
179428,14027,0,0.01466893,0.01246969,0,216,216
179430,6008,0,0.07947574,0.03486665,0,285,285
179431,6008,0,0.05716676,0.02507952,0,205,205
179432,6008,0,0.04182934,0.01835087,0,150,150
179433,6008,0,0.03374233,0.01480303,0,121,121
179435,6003,0,0.01000572,0.00335121,0,70,70
179436,6003,0,0.00014294,0.0000479,0,1,1
179437,6003,0,0.00014294,0.0000479,0,1,1
179438,14122,0,0.00412044,0.00194465,0,13,13
179439,14122,0,0.06307449,0.02976814,0,199,199
179442,6003,0,0.00100057,0.00033512,0,7,7
179445,6005,0,0.00028397,0.0000738,0,2,2
179446,14103,0,0.00509554,0.00055127,0,4,4
179447,14103,0,0.0955414,0.01033627,0,75,75
179448,14103,0.01978056,0.00127389,0.01777839,128,1,129
179449,14103,0.49961366,0.00636943,0.44625138,3233,5,3238
179450,14108,0,0.00225259,0.00043883,0,15,15
179454,14087,0,0.00495942,0.00130587,0,22,22
179456,14087,0,0.00090171,0.00023743,0,4,4
179457,14087,0,0.00045086,0.00011872,0,2,2
179458,14087,0,0.00563571,0.00148394,0,25,25
179459,14087,0,0.00225428,0.00059358,0,10,10
179460,14087,0,0.00270514,0.00071229,0,12,12
179461,14085,0,0.00025463,0.0001053,0,4,4
179462,14049,0,0.00224271,0.0018858,0,18,18
179463,14049,0,0.0024919,0.00209534,0,20,20
179464,14049,0,0.00087217,0.00073337,0,7,7
179465,14049,0,0.00348866,0.00293347,0,28,28
