GRIDCODE,CVENTMUN,Suma de Fa,
288925,24021,3.177E-05,
288925,24028,0.002391471,
288926,24028,0.005795469,
288927,24028,0.004296551,
288927,24035,0.016900419,
288928,24035,0.046444412,
288929,24035,0.08104161,
288930,24009,0.005478626,
288930,24035,0.07824561,
288931,24009,0.023388587,
288931,24035,0.008231638,
288934,24009,0.021864096,
288938,24004,0.043384494,
288939,24004,0.000593289,
288940,24004,0.000192817,
288940,24030,0.000278841,
288942,24030,0.112114239,
288943,24030,0.056227179,
288944,24030,0.027539107,
288945,24030,0.022050599,
288946,24030,0.007196285,
288947,24030,0.057049347,
288948,24030,0.000171369,
288948,24052,0.000148866,
288949,24052,0.000322779,
288950,24052,0.000524475,
288951,24052,0.013071642,
288952,24052,0.036712103,
288953,24052,0.031953705,
288954,24052,0.016751737,
288955,24024,0.000230613,
288955,24052,2.09658E-05,
288956,24024,0.008169882,
288957,24024,0.004312885,
288958,24024,0.000651806,
288961,24024,0.001198725,
288963,24024,0.000305241,
288967,24010,0.002583086,
288968,24002,0.000733735,
288968,24010,0.008310108,
288969,24002,0.005309541,
288970,24002,0.028616108,
288971,24002,0.04159777,
288971,24010,3.06712E-05,
288972,24002,0.011495399,
288973,24002,0.010429801,
288973,24010,2.78787E-05,
288974,24002,0.007685453,
288975,24002,0.008688605,
288976,24002,0.000254949,
288979,24036,1.56268E-05,
288981,24036,0.001453749,
288982,24036,0.000436942,
288983,24036,0.013872665,
288983,24058,0.005778466,
288984,24013,4.15961E-05,
288984,24058,0.001294836,
288985,24013,0.003351887,
288986,24013,0.006499174,
288987,24013,0.011090178,
288988,24013,0.000457292,
288989,24013,0.002553469,
288990,24013,0.010175753,
288991,24013,0.004765872,
288992,24013,0.008365976,
288993,24013,0.000813811,
288994,24013,0.000354428,
288995,24013,0.000833649,
288996,24013,0.000859008,
288998,24040,0.000353882,
288999,24040,0.006762467,
289000,24040,0.006037746,
289001,24040,0.005727471,
289002,24040,0.000559941,
289007,24040,0.007808288,
289008,24040,0.019585273,
289009,24040,0.017170369,
289010,24016,0.000659295,
289010,24040,0.02247025,
289011,24016,0.014266253,
289011,24040,0.00315733,
289012,24016,0.015003281,
289013,24016,0.012866809,
289014,24016,0.004237794,
289017,30123,0.002484584,
289018,30123,0.005169833,
289019,30123,0.004396941,
289020,30123,0.005853736,
289021,30123,0.00571177,
289022,30123,0.004856783,
289023,30123,0.001049293,
289024,30123,5.34509E-05,
289025,30123,8.60162E-05,
289026,30123,0.001039145,
289026,30133,0.091652338,
289027,30123,0.001385296,
289027,30133,0.030473653,
289028,30123,0.000526875,
289028,30133,0.076417487,
289029,30133,0.031287778,
289030,30133,0.000967655,
289031,30133,0.001425967,
289033,30152,0.000237966,
289034,30152,0.006957201,
289035,30152,0.032437935,
289888,14061,0.000817356,
289889,14061,0.000924757,
289890,14061,0.002008162,
289891,14061,0.000736801,
289892,14061,0.000821035,
289893,14061,1.87528E-05,
289895,32049,8.84413E-05,
289896,14061,4.54632E-07,
289896,32049,0.000131459,
289903,14061,2.08452E-06,
289903,32031,0.000287693,
289904,32031,0.001735098,
289905,32031,0.002629798,
289906,32031,0.006409313,
289907,32031,0.016341666,
289908,32031,0.006169462,
289909,32031,0.017099901,
289910,32031,0.015090159,
289911,14025,0.015401765,
289911,32031,0.008348202,
289912,14025,0.010121958,
289912,32031,0.004120571,
289913,14025,0.014955682,
289914,14025,0.023136799,
289915,14025,0.000666175,
289916,14081,0.004464402,
289917,14081,0.05638187,
289918,14081,0.025565932,
289919,14041,0.000463098,
289919,14081,0.09553031,
289920,14041,0.001393694,
289920,14081,0.001302091,
289921,14041,0.004284817,
289921,14081,0.056197028,
289922,14081,0.000723761,
289923,14081,0.004072004,
289923,32055,0.000679157,
289924,32055,0.00126165,
289925,32055,0.003155949,
289926,32055,0.009720466,
289927,32055,0.007118951,
289928,32055,0.008055524,
289929,32055,7.52276E-05,
289930,32055,0.000110498,
289931,32055,0.001648804,
289932,32055,0.000647172,
289933,32055,0.00014224,
289934,32055,9.27081E-05,
289935,32055,0.001371308,
289936,32055,3.4948E-05,
289940,01008,0.000817851,
289941,01008,0.003056447,
289942,01008,0.013695093,
289943,01008,0.020040474,
289944,01007,1.81238E-07,
289944,01008,0.0467247,
289945,01007,0.000432234,
289945,01008,0.023978282,
289946,01007,0.012804896,
289946,01008,0.013118646,
289947,01007,0.005962328,
289947,01008,0.000587203,
289948,01007,0.017266859,
289949,01007,0.046214087,
289950,01007,0.02501826,
289950,01009,0.03199278,
289951,01007,5.75808E-05,
289951,01009,0.06020218,
289952,01009,0.067017226,
289953,01009,0.012081221,
289954,01009,0.000640319,
289955,01002,0.000358086,
289956,01002,0.000699537,
289957,01002,0.010208846,
289958,01002,0.022707367,
289959,01002,0.017769051,
289959,32024,0.005533878,
289959,32052,0.00342899,
289960,32024,0.007450624,
289960,32052,0.002621494,
289961,32024,0.001891221,
289961,32052,0.002522184,
289962,32024,0.005233036,
289962,32052,0.004200964,
289963,32024,0.002788261,
289963,32052,0.002811343,
289964,32024,0.010709325,
289965,32024,0.005899853,
289965,32038,0.000299954,
289966,32024,2.38623E-05,
289966,32038,0.001730701,
289967,32038,0.00195343,
289968,32038,0.006914056,
289969,32038,0.007261833,
289970,32038,0.007132735,
289971,32038,0.007055263,
289972,32038,0.00584772,
289973,32038,0.00620103,
289974,32038,0.004505968,
289975,32038,0.001858519,
289976,32038,0.000601488,
289979,32038,0.000614588,
289980,32038,0.002207523,
289981,24021,0.001667817,
