GRIDCODE,LONG,LATITUDE,Huso,POB,X ,Y ,UTM_Zones
396856,-99.11086304,24.91946816,6,0,2790321.774,1433649.062,14
396857,-99.08101674,24.91891696,6,0,2793321.774,1433649.062,14
396858,-99.0511707,24.9183601,6,0,2796321.774,1433649.062,14
396859,-99.02132491,24.91779757,6,0,2799321.774,1433649.062,14
396860,-98.99147938,24.91722938,6,1,2802321.774,1433649.062,14
396861,-98.96163411,24.91665552,6,0,2805321.774,1433649.062,14
396862,-98.9317891,24.916076,6,0,2808321.774,1433649.062,14
396863,-98.90194436,24.91549082,6,0,2811321.774,1433649.062,14
396864,-98.87209989,24.91489997,6,0,2814321.774,1433649.062,14
396865,-98.84225569,24.91430346,6,6,2817321.774,1433649.062,14
396866,-98.81241176,24.91370129,6,0,2820321.774,1433649.062,14
396867,-98.78256811,24.91309345,6,0,2823321.774,1433649.062,14
396868,-98.75272474,24.91247994,6,0,2826321.774,1433649.062,14
396869,-98.72288165,24.91186078,6,11,2829321.774,1433649.062,14
396870,-98.69303884,24.91123595,6,2,2832321.774,1433649.062,14
396871,-98.66319632,24.91060546,6,37,2835321.774,1433649.062,14
396872,-98.63335408,24.9099693,6,9,2838321.774,1433649.062,14
396873,-98.60351214,24.90932748,6,0,2841321.774,1433649.062,14
396874,-98.5736705,24.90868,6,3,2844321.774,1433649.062,14
396875,-98.54382915,24.90802685,6,5,2847321.774,1433649.062,14
396876,-98.5139881,24.90736805,6,40,2850321.774,1433649.062,14
396877,-98.48414735,24.90670357,6,27,2853321.774,1433649.062,14
396878,-98.4543069,24.90603344,6,2,2856321.774,1433649.062,14
396879,-98.42446676,24.90535764,6,0,2859321.774,1433649.062,14
396880,-98.39462694,24.90467618,6,0,2862321.774,1433649.062,14
396881,-98.36478742,24.90398906,6,0,2865321.774,1433649.062,14
396882,-98.33494822,24.90329628,6,2,2868321.774,1433649.062,14
396883,-98.30510934,24.90259783,6,3,2871321.774,1433649.062,14
396884,-98.27527077,24.90189372,6,0,2874321.774,1433649.062,14
396885,-98.24543253,24.90118395,6,6,2877321.774,1433649.062,14
396886,-98.21559462,24.90046852,6,0,2880321.774,1433649.062,14
396887,-98.18575703,24.89974742,6,0,2883321.774,1433649.062,14
396888,-98.15591977,24.89902067,6,0,2886321.774,1433649.062,14
396889,-98.12608285,24.89828825,6,54,2889321.774,1433649.062,14
396890,-98.09624626,24.89755016,6,0,2892321.774,1433649.062,14
396891,-98.06641,24.89680642,6,0,2895321.774,1433649.062,14
396892,-98.03657409,24.89605702,6,0,2898321.774,1433649.062,14
396893,-98.00673853,24.89530195,6,0,2901321.774,1433649.062,14
396894,-97.9769033,24.89454122,6,0,2904321.774,1433649.062,14
396895,-97.94706843,24.89377484,6,0,2907321.774,1433649.062,14
396896,-97.91723391,24.89300279,6,7,2910321.774,1433649.062,14
396897,-97.88739974,24.89222508,6,0,2913321.774,1433649.062,14
396898,-97.85756592,24.8914417,6,6,2916321.774,1433649.062,14
396899,-97.82773247,24.89065267,6,0,2919321.774,1433649.062,14
396900,-97.79789937,24.88985798,6,0,2922321.774,1433649.062,14
396901,-97.76806664,24.88905762,6,0,2925321.774,1433649.062,14
396902,-97.73823428,24.88825161,6,0,2928321.774,1433649.062,14
396903,-97.70840228,24.88743993,6,0,2931321.774,1433649.062,14
396904,-97.67857066,24.88662259,6,0,2934321.774,1433649.062,14
396905,-97.64873941,24.8857996,6,0,2937321.774,1433649.062,14
396906,-97.61890854,24.88497094,6,0,2940321.774,1433649.062,14
396907,-97.58907805,24.88413662,6,0,2943321.774,1433649.062,14
396908,-97.55924793,24.88329665,6,0,2946321.774,1433649.062,14
396909,-97.52941821,24.88245101,6,0,2949321.774,1433649.062,14
396910,-97.49958887,24.88159971,6,0,2952321.774,1433649.062,14
396911,-97.46975991,24.88074275,6,0,2955321.774,1433649.062,14
396912,-97.43993136,24.87988014,6,0,2958321.774,1433649.062,14
396913,-97.41010319,24.87901186,6,0,2961321.774,1433649.062,14
396914,-97.38027542,24.87813793,6,0,2964321.774,1433649.062,14
396915,-97.35044806,24.87725833,6,0,2967321.774,1433649.062,14
396916,-97.32062109,24.87637308,6,0,2970321.774,1433649.062,14
396917,-97.29079453,24.87548216,6,0,2973321.774,1433649.062,14
396918,-97.26096838,24.87458559,6,0,2976321.774,1433649.062,14
396919,-97.23114264,24.87368336,6,0,2979321.774,1433649.062,14
396920,-97.20131731,24.87277547,6,0,2982321.774,1433649.062,14
396921,-97.17149239,24.87186192,6,0,2985321.774,1433649.062,14
396922,-97.14166789,24.87094271,6,0,2988321.774,1433649.062,14
396923,-97.11184382,24.87001785,6,0,2991321.774,1433649.062,14
396924,-97.08202016,24.86908732,6,0,2994321.774,1433649.062,14
397753,-104.216567,24.95761233,6,0,2277321.774,1436649.062,13
397754,-104.1867093,24.95803021,6,0,2280321.774,1436649.062,13
397755,-104.1568514,24.95844243,6,0,2283321.774,1436649.062,13
397756,-104.1269933,24.95884897,6,228,2286321.774,1436649.062,13
397757,-104.097135,24.95924985,6,0,2289321.774,1436649.062,13
397758,-104.0672766,24.95964507,6,0,2292321.774,1436649.062,13
397759,-104.0374179,24.96003461,6,0,2295321.774,1436649.062,13
397760,-104.0075591,24.96041849,6,0,2298321.774,1436649.062,13
397761,-103.9777001,24.9607967,6,0,2301321.774,1436649.062,13
397762,-103.947841,24.96116925,6,0,2304321.774,1436649.062,13
397763,-103.9179816,24.96153613,6,0,2307321.774,1436649.062,13
397764,-103.8881221,24.96189734,6,345,2310321.774,1436649.062,13
397765,-103.8582625,24.96225288,6,0,2313321.774,1436649.062,13
397766,-103.8284027,24.96260276,6,0,2316321.774,1436649.062,13
397767,-103.7985427,24.96294696,6,22,2319321.774,1436649.062,13
397768,-103.7686826,24.96328551,6,0,2322321.774,1436649.062,13
397769,-103.7388223,24.96361838,6,2,2325321.774,1436649.062,13
397770,-103.7089618,24.96394559,6,0,2328321.774,1436649.062,13
397771,-103.6791012,24.96426712,6,0,2331321.774,1436649.062,13
397772,-103.6492405,24.964583,6,0,2334321.774,1436649.062,13
397773,-103.6193796,24.9648932,6,16,2337321.774,1436649.062,13
397774,-103.5895186,24.96519773,6,0,2340321.774,1436649.062,13
397775,-103.5596575,24.9654966,6,0,2343321.774,1436649.062,13
397776,-103.5297962,24.9657898,6,0,2346321.774,1436649.062,13
397777,-103.4999347,24.96607734,6,0,2349321.774,1436649.062,13
397778,-103.4700732,24.9663592,6,0,2352321.774,1436649.062,13
397779,-103.4402115,24.9666354,6,0,2355321.774,1436649.062,13
397780,-103.4103497,24.96690593,6,0,2358321.774,1436649.062,13
397781,-103.3804878,24.96717079,6,0,2361321.774,1436649.062,13
397782,-103.3506257,24.96742998,6,0,2364321.774,1436649.062,13
397783,-103.3207636,24.96768351,6,0,2367321.774,1436649.062,13
397784,-103.2909013,24.96793137,6,0,2370321.774,1436649.062,13
397785,-103.2610389,24.96817355,6,0,2373321.774,1436649.062,13
397786,-103.2311764,24.96841008,6,0,2376321.774,1436649.062,13
397787,-103.2013138,24.96864093,6,0,2379321.774,1436649.062,13
397788,-103.1714511,24.96886612,6,0,2382321.774,1436649.062,13
397789,-103.1415883,24.96908563,6,0,2385321.774,1436649.062,13
397790,-103.1117253,24.96929948,6,0,2388321.774,1436649.062,13
397791,-103.0818623,24.96950766,6,0,2391321.774,1436649.062,13
397792,-103.0519992,24.96971018,6,0,2394321.774,1436649.062,13
397793,-103.022136,24.96990702,6,0,2397321.774,1436649.062,13
