GRIDCODE,CVENTMUN,Furb,Frural,FpoT,PobUrb,PobR,PubU+R,PoT
12437,frac,,,,,,,
294277,24004,,0.017808958,0.017808958,,66,66,3706
294283,24004,,0.003507825,0.003507825,,13,13,3706
294290,24052,0.71358945,0.000880282,0.242138975,2489,6,2495,10304
294291,24052,0.280103211,0.002787559,0.096661491,977,19,996,10304
294296,24052,,0.011296948,0.011296948,,77,77,6816
294302,24024,,7.54053E-05,7.54053E-05,,3,3,39785
294313,24010,,0.017414122,0.017414122,,292,292,16768
294319,24010,,0.001073473,0.001073473,,18,18,16768
294326,24058,,0.000404122,0.000404122,,4,4,9898
294328,24013,,0.000122766,0.000122766,,5,5,40728
294338,24040,,0.000767007,0.000767007,,13,13,16949
294340,24040,,0.000236002,0.000236002,,4,4,16949
294343,24040,,0.000118001,0.000118001,,2,2,16949
294345,24016,,0.000292997,0.000292997,,2,2,6826
294345,24040,,0.000236002,0.000236002,,4,4,16949
294346,24016,,0.319660123,0.319660123,,2182,2182,6826
294347,24016,,0.000878992,0.000878992,,6,6,6826
294351,24016,,0.001171989,0.001171989,,8,8,6826
294353,30123,,0.003565159,0.003565159,,132,132,37025
294354,30123,,0.00021607,0.00021607,,8,8,37025
294355,30123,,0.000297097,0.000297097,,11,11,37025
294357,30123,,0.001782579,0.001782579,,66,66,37025
294359,30123,,0.000837272,0.000837272,,31,31,37025
294363,30123,,0.003835246,0.003835246,,142,142,37025
294364,30123,,0.000162053,0.000162053,,6,6,37025
294365,30123,,0.001728562,0.001728562,,64,64,37025
294366,30123,,0.016097232,0.016097232,,596,596,37025
294367,30123,,0.007373396,0.007373396,,273,273,37025
294370,28038,,0.19047619,0.19047619,,36,36,189
294371,28038,0.002515359,0.100529101,0.002577614,748,19,767,297562
294372,28038,0.170086054,,0.170086054,50579,,50579,297373
294373,28038,0.023778218,,0.023778218,7071,,7071,297373
294373,28009,0.19950178,,0.19950178,41084,,41084,205933
294374,28009,0.173172828,,0.173172828,35662,,35662,205933
294375,28009,0.021375884,,0.021375884,4402,,4402,205933
295225,14061,,0.000925735,0.000925735,,18,18,19444
295228,14061,,0.003394363,0.003394363,,66,66,19444
295229,14061,,0.001080025,0.001080025,,21,21,19444
295230,14061,,0.001234314,0.001234314,,24,24,19444
295240,14061,,0.000565727,0.000565727,,11,11,19444
295241,14061,,0.000308578,0.000308578,,6,6,19444
295242,14061,,0.006685867,0.006685867,,130,130,19444
295246,32031,,0.003155996,0.003155996,,14,14,4436
295250,32031,,0.060865645,0.060865645,,270,270,4436
295252,32031,,0.007664563,0.007664563,,34,34,4436
295253,14041,,0.004170528,0.004170528,,9,9,2158
295254,14041,,0.120018536,0.120018536,,259,259,2158
295257,14041,,0.029193698,0.029193698,,63,63,2158
295258,14041,0.91440723,0.00463392,0.58277027,3440,10,3450,5920
295263,32055,,0.036910116,0.036910116,,517,517,14007
295266,32055,,0.013350468,0.013350468,,187,187,14007
295268,32055,,0.000428357,0.000428357,,6,6,14007
295269,32055,0.726967124,,0.726967124,12759,,12759,17551
