GRIDCODE,CVENTMUN,Fb,
292180,24010,0.037830145,
292181,24010,0.014237761,
292182,24010,0.014979974,
292183,24010,0.013053541,
292184,24010,0.032666825,
292185,24010,0.352048488,
292186,24010,0.084046705,
292186,24058,0.018291746,
292187,24010,5.27433E-05,
292187,24013,0.004465371,
292187,24058,0.195259699,
292188,24013,0.007174629,
292189,24013,0.004696143,
292190,24013,0.013784886,
292191,24013,0.008145314,
292192,24013,0.008365204,
292193,24013,0.007557973,
292194,24013,0.010336152,
292195,24013,0.007696278,
292196,24013,0.002901407,
292197,24013,0.023364208,
292198,24013,0.006571187,
292199,24013,0.010658375,
292200,24013,0.007599162,
292201,24013,0.005880014,
292201,24040,0.011087294,
292202,24040,0.019855457,
292203,24040,0.028451057,
292204,24040,0.029783764,
292205,24040,0.024788103,
292206,24040,0.027698711,
292207,24040,0.010907808,
292208,24040,0.021105054,
292209,24016,0.230447237,
292209,24040,0.013469928,
292210,24016,0.001012116,
292212,24016,0.058139229,
292223,30123,0.01960309,
292227,30123,0.019745492,
292228,30123,0.00026618,
292230,30123,0.003505572,
292231,30123,0.05475275,
292232,30123,0.03248738,
292233,30123,0.029185253,
292234,30123,0.033327273,
292234,30133,0.002909533,
292235,28038,0.005914475,
292235,30123,0.007370581,
292235,30133,0.083643912,
292236,28038,0.035240278,
292236,30133,0.077757486,
292238,30133,0.086108277,
292239,30133,0.413556838,
293089,14061,0.012516182,
293090,14061,0.013425162,
293091,14061,0.009759117,
293092,14061,0.008576074,
293093,14061,0.009778161,
293094,14061,0.007839581,
293095,14061,0.009325813,
293096,14061,0.009928861,
293097,14061,0.012004649,
293098,14061,0.003256512,
293098,32049,0.005589127,
293099,32049,0.007576528,
