GRIDCODE,CVENTMUN,Promedio de LONG_CARRETERA TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de CARRxCELLxCarril,
292045,32031,287692.31,1673.45,
292049,32031,287692.31,6020.79,
292053,14041,94281.15,3346.85,
292053,14081,79337.47,1673.72,
292055,14041,94281.15,4789.89,
292055,14081,79337.47,1203.26,
292063,32055,531407.57,4105.43,
292064,32055,531407.57,2551.77,
292065,32055,531407.57,5233.81,
292066,32055,531407.57,13710.59,
292067,32055,531407.57,11034.98,
292068,32055,531407.57,80.73,
292083,01007,261181.98,1996.68,
292085,01007,261181.98,14300.32,
292086,01007,261181.98,6538.04,
292087,01007,261181.98,2799.04,
292087,01009,193851.30,11679.47,
292089,01009,193851.30,6147.41,
292093,01002,350750.68,7681.34,
292094,01002,350750.68,8411.91,
292094,32024,235755.15,4607.21,
292095,32024,235755.15,8079.33,
292096,32024,235755.15,3124.97,
292097,32024,235755.15,7274.57,
292098,32024,235755.15,7874.58,
292099,32024,235755.15,6047.87,
292100,32024,235755.15,8991.46,
292101,32024,235755.15,11023.84,
292102,32024,235755.15,4502.83,
292102,32038,751264.37,968.02,
292103,32038,751264.37,6256.37,
292105,32038,751264.37,4599.02,
292106,32038,751264.37,2714.43,
292107,32038,751264.37,3226.74,
292108,32038,751264.37,4573.41,
292109,32038,751264.37,6602.75,
292110,32038,751264.37,2926.81,
292120,24021,715998.78,628.59,
292121,24021,715998.78,7486.42,
292122,24021,715998.78,2936.32,
292123,24021,715998.78,470.43,
292124,24021,715998.78,7745.56,
292125,24021,715998.78,21805.33,
292126,24021,715998.78,13738.35,
292127,24021,715998.78,13758.74,
292128,24021,715998.78,23935.27,
292129,24021,715998.78,20788.98,
292131,24028,774752.29,6206.94,
292133,24028,774752.29,883.64,
292133,24035,344218.19,4994.59,
292134,24035,344218.19,20818.42,
292135,24035,344218.19,2516.74,
292136,24004,242031.65,4115.54,
292136,24035,344218.19,6177.43,
292137,24004,242031.65,2210.94,
292138,24004,242031.65,4452.97,
292140,24004,242031.65,3257.32,
292141,24004,242031.65,7211.23,
292142,24004,242031.65,10656.63,
292144,24004,242031.65,3864.11,
292144,24030,173168.16,4375.59,
292154,24052,200271.63,114.88,
292155,24052,200271.63,13037.15,
292156,24052,200271.63,287.47,
292158,24052,200271.63,8038.45,
292159,24024,555440.13,45.29,
292159,24052,200271.63,5454.14,
292175,24010,505445.00,9683.93,
292176,24010,505445.00,2397.27,
292190,24013,763392.41,7109.48,
292191,24013,763392.41,1797.15,
292193,24013,763392.41,6192.19,
292197,24013,763392.41,5183.93,
292198,24013,763392.41,1133.22,
292203,24040,450054.54,6126.33,
292212,24016,129467.79,6001.59,
292219,24016,129467.79,621.86,
292219,30123,400534.54,1393.69,
292220,24016,129467.79,511.59,
292220,30123,400534.54,962.84,
292225,30123,400534.54,2809.89,
292226,30123,400534.54,6086.45,
292231,30123,400534.54,4746.41,
292232,30123,400534.54,1454.79,
292233,30123,400534.54,9431.93,
292234,30123,400534.54,18274.44,
292235,28038,75535.80,261.56,
292235,30123,400534.54,18272.23,
292235,30133,94460.39,4331.19,
292236,28038,75535.80,14431.19,
292236,30133,94460.39,3978.55,
292237,28038,75535.80,5641.35,
292238,28038,75535.80,429.52,
292238,30133,94460.39,16505.54,
293097,14061,156205.91,6297.50,
293110,32031,287692.31,1243.68,
293111,32031,287692.31,6998.88,
293112,32031,287692.31,6425.66,
293113,32031,287692.31,6464.45,
293114,32031,287692.31,1849.08,
293117,32031,287692.31,711.01,
293118,14041,94281.15,1401.04,
293118,32031,287692.31,4617.93,
293119,14041,94281.15,2114.96,
293121,14041,94281.15,3355.87,
293122,14041,94281.15,4097.34,
293122,32046,133918.00,277.27,
293128,32055,531407.57,1840.21,
293132,32055,531407.57,6726.50,
293133,32055,531407.57,6002.00,
293135,32055,531407.57,2182.63,
293153,01004,132812.19,8586.41,
293153,01007,261181.98,5206.75,
293154,01004,132812.19,6361.53,
293155,01004,132812.19,2259.90,
293155,01007,261181.98,15885.08,
293155,01009,193851.30,1826.62,
293156,01007,261181.98,3773.85,
293156,01009,193851.30,4660.88,
293157,01009,193851.30,9865.37,
293159,32024,235755.15,3835.13,
293160,32024,235755.15,6922.38,
293161,01002,350750.68,6885.32,
293161,32024,235755.15,2700.74,
293162,01002,350750.68,2713.54,
293162,32024,235755.15,12477.81,
293165,32024,235755.15,5268.19,
293168,32024,235755.15,2898.41,
293168,32035,190595.24,569.89,
293169,32024,235755.15,1590.62,
293169,32035,190595.24,8286.44,
293170,32035,190595.24,4329.15,
293171,32038,751264.37,5475.41,
293171,32054,146101.74,5411.72,
293172,32054,146101.74,7145.42,
293174,32038,751264.37,6260.60,
293174,32054,146101.74,367.31,
293175,32038,751264.37,5812.00,
293176,32038,751264.37,9070.86,
293177,32038,751264.37,12212.16,
293178,32038,751264.37,640.44,
293188,24001,252630.33,1186.09,
293188,24021,715998.78,1057.00,
293189,24021,715998.78,537.99,
293190,24021,715998.78,6308.05,
293191,24021,715998.78,4675.90,
293192,24021,715998.78,18176.61,
293193,24021,715998.78,12676.31,
293194,24021,715998.78,1617.05,
293195,24021,715998.78,6223.74,
293196,24021,715998.78,14378.33,
293197,24021,715998.78,17406.93,
293198,24021,715998.78,12032.83,
293198,24028,774752.29,6439.48,
293199,24021,715998.78,464.21,
293199,24028,774752.29,15626.96,
293200,24028,774752.29,6527.01,
293201,24028,774752.29,976.48,
293203,24004,242031.65,1708.72,
293203,24035,344218.19,14465.27,
293204,24004,242031.65,18164.72,
293205,24004,242031.65,11869.76,
293207,24004,242031.65,2222.02,
293208,24004,242031.65,7135.37,
293210,24004,242031.65,4271.95,
293211,24004,242031.65,9992.44,
293212,24004,242031.65,803.38,
293222,24052,200271.63,10740.40,
293223,24052,200271.63,5606.01,
293224,24052,200271.63,6763.50,
293225,24052,200271.63,6090.74,
293226,24052,200271.63,12453.23,
293236,24010,505445.00,2293.52,
293244,24010,505445.00,8346.39,
293257,24013,763392.41,4211.36,
293257,24058,237637.25,237.01,
293258,24013,763392.41,2968.96,
293259,24013,763392.41,5608.27,
293261,24013,763392.41,7011.39,
293265,24013,763392.41,6314.94,
293271,24040,450054.54,2683.58,
293280,24016,129467.79,2326.02,
293287,24016,129467.79,1538.77,
293287,30123,400534.54,4911.06,
293292,30123,400534.54,4131.52,
293293,30123,400534.54,5634.87,
293294,30123,400534.54,4286.80,
293298,30123,400534.54,2716.47,
293299,30123,400534.54,3890.82,
293304,28038,75535.80,6237.58,
294165,14042,161170.50,1205.99,
294165,14061,156205.91,6433.19,
294177,32031,287692.31,7697.25,
294178,32031,287692.31,8632.85,
294179,32031,287692.31,908.17,
294180,32031,287692.31,9346.71,
294181,32031,287692.31,8334.49,
294182,32031,287692.31,11744.11,
294183,32031,287692.31,7939.39,
294184,32031,287692.31,6195.59,
294185,14041,94281.15,5691.19,
294185,32031,287692.31,1092.57,
294186,14041,94281.15,10114.64,
294187,14041,94281.15,14824.69,
294188,14041,94281.15,8430.55,
294189,14041,94281.15,343.32,
294190,14041,94281.15,6287.05,
294192,32046,133918.00,3622.02,
294195,32046,133918.00,1737.95,
294195,32055,531407.57,7506.12,
294196,32055,531407.57,229.99,
294197,32055,531407.57,2927.11,
294199,32055,531407.57,5861.80,
294200,32055,531407.57,4200.54,
294201,32055,531407.57,8334.28,
294221,01004,132812.19,13802.88,
294222,01004,132812.19,8070.61,
294223,01007,261181.98,6024.73,
294224,01007,261181.98,1476.41,
294225,01007,261181.98,3059.18,
294225,01009,193851.30,4166.97,
294226,01009,193851.30,3547.68,
294226,32024,235755.15,1651.57,
294227,32024,235755.15,5829.90,
294228,32024,235755.15,4253.72,
294229,32024,235755.15,4807.19,
294230,32024,235755.15,11642.08,
294233,32024,235755.15,6002.44,
294235,32035,190595.24,7159.97,
294236,32035,190595.24,6506.81,
294237,32035,190595.24,11758.31,
294238,32035,190595.24,4135.31,
