GRIDCODE,CVENTMUN,Promedio de LONG_VIALIDAD TOTAL x MUNICIPIO x NO. DE CARRILES (m),Suma de VIALIDADxCELLxCarril
289909,32031,759025.4936,7439.17129
289910,32031,759025.4936,7418.42477
289911,14025,299107.5214,1748.039036
289911,32031,759025.4936,6263.655084
289912,14025,299107.5214,2821.696267
289913,14025,299107.5214,3536.218727
289914,14025,299107.5214,6867.291946
289915,14025,299107.5214,8009.808168
289915,14081,118440.6546,707.2003011
289916,14025,299107.5214,974.835408
289916,14081,118440.6546,186.6383654
289917,14081,118440.6546,6825.135662
289918,14081,118440.6546,3108.312607
289919,14041,166345.7868,117.0789356
289919,14081,118440.6546,4821.264305
289920,14041,166345.7868,2064.61255
289920,14081,118440.6546,1264.728386
289921,14041,166345.7868,3187.267441
289921,14081,118440.6546,2223.202969
289922,14081,118440.6546,4670.018095
289925,32055,622792.4064,7861.690758
289926,32055,622792.4064,748.0448772
289927,32055,622792.4064,897.1698362
289930,32055,622792.4064,2786.285606
289931,32055,622792.4064,3433.53767
289935,32055,622792.4064,267.071127
289937,01008,272609.4976,2166.340546
289938,01008,272609.4976,7297.36289
289939,01008,272609.4976,658.5751411
289940,01008,272609.4976,814.6486078
289941,01008,272609.4976,843.5718671
289944,01008,272609.4976,5167.19229
289945,01007,254020.3737,3611.474454
289945,01008,272609.4976,6830.549671
289946,01008,272609.4976,3525.091324
289947,01007,254020.3737,1710.791167
289947,01008,272609.4976,1043.68198
289948,01007,254020.3737,25389.54603
289949,01007,254020.3737,20623.32711
289950,01007,254020.3737,6515.970126
289950,01009,118726.6256,8914.6453
289951,01009,118726.6256,14246.88087
289952,01009,118726.6256,2808.798093
289953,01009,118726.6256,9848.014253
289954,01009,118726.6256,4258.719638
289955,01002,253473.2035,47.95242055
289956,01002,253473.2035,3635.719013
289957,01002,253473.2035,1222.356878
289958,01002,253473.2035,1080.672803
289959,01002,253473.2035,2229.608873
289959,32024,267064.3257,7947.99854
289959,32052,162233.8073,1252.105975
289960,32024,267064.3257,4380.077992
289960,32052,162233.8073,196.7557327
289961,32024,267064.3257,3594.014234
289961,32052,162233.8073,1529.555574
289962,32024,267064.3257,1903.69268
289963,32024,267064.3257,169.1575254
289964,32024,267064.3257,2472.759512
289965,32024,267064.3257,442.1879091
289966,32038,1322451.36,292.123601
289967,32038,1322451.36,5156.910891
289968,32038,1322451.36,10067.66751
289972,32038,1322451.36,8276.768059
289973,32038,1322451.36,3229.985256
289974,32038,1322451.36,3884.346102
289975,32038,1322451.36,6983.174667
289976,32038,1322451.36,3907.53239
289979,32038,1322451.36,3870.866486
289980,32038,1322451.36,563.9481767
289981,24021,147438.3207,231.0731615
289981,32038,1322451.36,6327.517531
289982,24021,147438.3207,5028.728791
289982,32038,1322451.36,2263.85446
289983,24021,147438.3207,4037.129176
289986,24021,147438.3207,1001.790727
289987,24021,147438.3207,419.9270742
289989,24021,147438.3207,168.4231797
289990,24021,147438.3207,4596.755576
289991,24021,147438.3207,968.5185472
289992,24021,147438.3207,3460.153062
289993,24021,147438.3207,1212.251602
289993,24028,1431315.963,14916.66323
289994,24028,1431315.963,28964.81151
289995,24028,1431315.963,26214.51061
289995,24035,368091.7753,2214.140369
289996,24035,368091.7753,34551.92183
289997,24035,368091.7753,13702.22711
289998,24035,368091.7753,22696.56416
289999,24035,368091.7753,24.46339828
290000,24009,22056.16242,1747.719721
290002,24009,22056.16242,546.2680271
290005,24004,139312.8327,361.578824
290006,24004,139312.8327,6441.396682
290007,24004,139312.8327,4204.666041
290008,24004,139312.8327,921.1252248
290008,24030,99508.54825,567.4573695
290009,24030,99508.54825,3117.867609
290010,24030,99508.54825,1203.76242
290012,24030,99508.54825,3392.94303
290013,24030,99508.54825,2752.741007
290017,24030,99508.54825,323.861594
290017,24052,138569.4399,2575.975198
290018,24052,138569.4399,5470.886201
290019,24052,138569.4399,113.8410255
290020,24052,138569.4399,3049.906142
290021,24052,138569.4399,2994.744973
290022,24052,138569.4399,3185.478641
290028,24024,845476.2925,2407.389996
290029,24024,845476.2925,851.933665
290031,24024,845476.2925,2725.002772
290032,24010,364408.1228,319.3701368
290032,24024,845476.2925,1420.213525
290034,24010,364408.1228,3639.47895
290035,24010,364408.1228,5324.718709
290044,24002,139150.5717,309.9304766
